name,seq,status,buffer,match,proximity,new_track,track_high,second_match,appearance,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN,CLR_FP
S0_ref_buf70_m05,MOT20-01,completed,70,0.5,0.5,0.7,0.6,0.5,0.25,77.043,80.266,74.095,88.443,91.882,44.0,92.0,1329.0,240.0
S0_ref_buf70_m05,MOT20-02,completed,70,0.5,0.5,0.7,0.6,0.5,0.25,68.694,78.886,59.922,74.977,90.668,407.0,752.0,11849.0,2184.0
S1_prox07,MOT20-01,completed,70,0.5,0.7,0.7,0.6,0.5,0.25,76.657,80.247,73.384,87.562,91.807,53.0,97.0,1302.0,273.0
S1_prox07,MOT20-02,completed,70,0.5,0.7,0.7,0.6,0.5,0.25,69.138,78.981,60.612,75.818,90.706,436.0,787.0,11824.0,2122.0
S2_newtrk05,MOT20-01,completed,70,0.5,0.5,0.5,0.6,0.5,0.25,77.148,80.426,74.15,88.477,92.104,46.0,94.0,1274.0,249.0
S2_newtrk05,MOT20-02,completed,70,0.5,0.5,0.5,0.6,0.5,0.25,68.821,78.952,60.095,75.131,90.75,417.0,765.0,11561.0,2336.0
S3_high05,MOT20-01,completed,70,0.5,0.5,0.7,0.5,0.5,0.25,75.696,80.249,71.562,86.339,91.691,59.0,101.0,1261.0,331.0
S3_high05,MOT20-02,completed,70,0.5,0.5,0.7,0.5,0.5,0.25,68.691,79.024,59.811,75.151,90.752,425.0,809.0,11583.0,2303.0
S4_2nd07,MOT20-01,completed,70,0.5,0.5,0.7,0.6,0.7,0.25,76.234,79.9,72.89,87.208,91.429,56.0,90.0,1271.0,376.0
S4_2nd07,MOT20-02,completed,70,0.5,0.5,0.7,0.6,0.7,0.25,68.098,79.018,58.795,74.205,90.644,425.0,755.0,11722.0,2331.0
S5_combo,MOT20-01,completed,70,0.5,0.7,0.5,0.6,0.7,0.25,76.331,80.0,72.989,87.072,91.666,59.0,98.0,1218.0,379.0
S5_combo,MOT20-02,completed,70,0.5,0.7,0.5,0.6,0.7,0.25,68.533,78.911,59.618,75.34,90.716,471.0,805.0,11422.0,2473.0
S6_max,MOT20-01,completed,70,0.5,0.7,0.5,0.5,0.7,0.2,75.726,79.879,71.959,85.966,91.59,72.0,110.0,1178.0,421.0
S6_max,MOT20-02,completed,70,0.5,0.7,0.5,0.5,0.7,0.2,67.255,78.987,57.371,73.744,90.717,510.0,853.0,11010.0,2845.0
S7_prox06,MOT20-01,completed,70,0.5,0.6,0.7,0.6,0.5,0.25,76.452,80.148,73.086,87.512,91.736,58.0,98.0,1307.0,277.0
S7_prox06,MOT20-02,completed,70,0.5,0.6,0.7,0.6,0.5,0.25,68.853,78.86,60.218,75.721,90.706,409.0,777.0,11807.0,2165.0
S8_prox08,MOT20-01,completed,70,0.5,0.8,0.7,0.6,0.5,0.25,75.319,80.168,70.922,85.702,91.802,54.0,99.0,1337.0,238.0
S8_prox08,MOT20-02,completed,70,0.5,0.8,0.7,0.6,0.5,0.25,69.687,78.916,61.627,77.362,90.632,462.0,802.0,11907.0,2127.0
