name,seq,status,ext_prox,ext_prox_t,ext_app,match,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN,CLR_FP
E0_ref,MOT20-01,completed,False,,0.15,0.5,77.148,80.426,74.15,88.477,92.104,46.0,94.0,1274.0,249.0
E0_ref,MOT20-02,completed,False,,0.15,0.5,68.821,78.952,60.095,75.131,90.75,417.0,765.0,11561.0,2336.0
E1_extp08_app015,MOT20-01,completed,True,0.8,0.15,0.5,76.826,80.347,73.611,87.792,91.983,49.0,95.0,1294.0,250.0
E1_extp08_app015,MOT20-02,completed,True,0.8,0.15,0.5,68.709,78.842,59.978,75.322,90.759,443.0,793.0,11582.0,2274.0
E2_extp08_app010,MOT20-01,completed,True,0.8,0.1,0.5,76.962,80.403,73.823,87.999,92.018,51.0,96.0,1251.0,284.0
E2_extp08_app010,MOT20-02,completed,True,0.8,0.1,0.5,68.747,79.035,59.904,75.107,90.746,423.0,767.0,11554.0,2343.0
E3_extp08_app020,MOT20-01,completed,True,0.8,0.2,0.5,75.747,80.262,71.646,85.88,91.726,58.0,96.0,1315.0,271.0
E3_extp08_app020,MOT20-02,completed,True,0.8,0.2,0.5,68.54,78.939,59.61,75.464,90.679,458.0,818.0,11654.0,2312.0
E4_extp07_app015,MOT20-01,completed,True,0.7,0.15,0.5,76.766,80.39,73.464,87.655,91.988,52.0,98.0,1256.0,284.0
E4_extp07_app015,MOT20-02,completed,True,0.7,0.15,0.5,68.745,78.848,60.035,75.253,90.758,432.0,783.0,11542.0,2327.0
E5_extp09_app015,MOT20-01,completed,True,0.9,0.15,0.5,76.818,80.328,73.615,87.793,91.983,47.0,94.0,1294.0,252.0
E5_extp09_app015,MOT20-02,completed,True,0.9,0.15,0.5,68.716,78.933,59.916,75.476,90.772,432.0,790.0,11584.0,2263.0
E6_extp08_app015_mt03,MOT20-01,completed,True,0.8,0.15,0.3,76.835,80.313,73.659,88.164,92.018,48.0,96.0,1325.0,213.0
E6_extp08_app015_mt03,MOT20-02,completed,True,0.8,0.15,0.3,69.301,79.13,60.791,76.297,90.733,426.0,790.0,11813.0,2101.0
