name,seq,status,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN,CLR_FP
T0_ref,MOT20-01,completed,77.148,80.426,74.15,88.477,92.104,46.0,94.0,1274.0,249.0
T0_ref,MOT20-02,completed,68.821,78.952,60.095,75.131,90.75,417.0,765.0,11561.0,2336.0
T1_s2reid,MOT20-01,completed,77.012,80.362,73.95,88.33,92.008,52.0,93.0,1280.0,256.0
T1_s2reid,MOT20-02,completed,68.681,78.881,59.909,75.053,90.769,431.0,772.0,11549.0,2305.0
T2_s2lost,MOT20-01,completed,75.537,79.059,72.335,86.174,90.332,72.0,129.0,1089.0,760.0
T2_s2lost,MOT20-02,completed,68.033,78.41,59.148,74.294,90.01,489.0,1065.0,10306.0,4663.0
T3_s2both,MOT20-01,completed,75.656,79.599,72.073,86.772,91.057,76.0,127.0,1091.0,610.0
T3_s2both,MOT20-02,completed,68.529,78.763,59.743,75.338,90.13,492.0,1062.0,10397.0,4384.0
T4_s2both_2nd07,MOT20-01,completed,75.656,79.599,72.073,86.772,91.057,76.0,127.0,1091.0,610.0
T4_s2both_2nd07,MOT20-02,completed,68.529,78.762,59.743,75.338,90.125,492.0,1060.0,10400.0,4388.0
T5_s2both_2nd03,MOT20-01,completed,75.49,79.045,72.257,86.044,90.428,75.0,125.0,1061.0,766.0
T5_s2both_2nd03,MOT20-02,completed,68.374,78.732,59.496,75.071,90.117,489.0,1056.0,10419.0,4385.0
