name,seq,status,HOTA,DetA,AssA,IDF1,MOTA,IDSW,Frag,CLR_FN,CLR_FP
N0_ref,MOT20-01,completed,77.148,80.426,74.15,88.477,92.104,46.0,94.0,1274.0,249.0
N0_ref,MOT20-02,completed,68.821,78.952,60.095,75.131,90.75,417.0,765.0,11561.0,2336.0
N1_nsa05,MOT20-01,completed,77.092,80.522,73.956,88.071,92.219,46.0,92.0,1273.0,227.0
N1_nsa05,MOT20-02,completed,68.522,79.012,59.534,74.715,90.75,429.0,757.0,11557.0,2328.0
N2_nsa10,MOT20-01,completed,77.069,80.526,73.909,87.998,92.25,46.0,91.0,1271.0,223.0
N2_nsa10,MOT20-02,completed,68.727,79.074,59.843,75.269,90.765,417.0,748.0,11541.0,2333.0
N3_nsa20,MOT20-01,completed,76.741,80.35,73.449,87.747,92.068,47.0,91.0,1256.0,273.0
N3_nsa20,MOT20-02,completed,68.652,79.243,59.584,75.273,90.801,406.0,736.0,11521.0,2308.0
N4_nsa30,MOT20-01,completed,76.64,80.372,73.238,87.511,92.204,44.0,82.0,1274.0,231.0
N4_nsa30,MOT20-02,completed,68.592,79.099,59.59,75.044,90.834,398.0,749.0,11497.0,2289.0
N5_nsa05_m04,MOT20-01,completed,76.733,80.525,73.272,87.52,92.219,47.0,92.0,1273.0,226.0
N5_nsa05_m04,MOT20-02,completed,68.75,79.143,59.83,74.934,90.764,437.0,758.0,11546.0,2309.0
N6_nsa10_m04,MOT20-01,completed,76.534,80.527,72.894,87.113,92.24,48.0,91.0,1272.0,222.0
N6_nsa10_m04,MOT20-02,completed,68.835,79.186,59.943,75.248,90.789,423.0,746.0,11521.0,2309.0
