seq,split_tag,clusters,detections,tracks,edges,trigger_pass_clusters,accepted_clusters,rejected_clusters,gt_positive_clusters,gt_negative_clusters,gt_neutral_clusters,action_rewrite_clusters,action_defer_clusters,action_reject_clusters
dancetrack0001,train,8,16,17,25,0,0,8,3,3,2,3,2,3
dancetrack0002,train,30,63,63,92,4,1,29,5,10,15,5,15,10
dancetrack0006,train,49,101,122,167,6,3,46,15,7,27,15,27,7
dancetrack0008,train,37,78,85,126,1,1,36,10,4,23,10,23,4
dancetrack0012,train,48,100,115,154,13,2,46,10,9,29,10,29,9
dancetrack0015,train,4,8,8,13,0,0,4,1,0,3,1,3,0
dancetrack0016,train,28,61,61,92,7,0,28,7,5,16,7,16,5
dancetrack0020,train,68,145,161,231,14,8,60,17,11,40,17,40,11
dancetrack0023,train,36,73,79,106,3,2,34,11,2,23,11,23,2
dancetrack0024,train,13,27,27,41,0,0,13,3,5,5,3,5,5
dancetrack0027,train,14,31,34,46,3,2,12,4,4,6,4,6,4
dancetrack0029,train,17,35,35,44,0,0,17,1,6,10,1,10,6
dancetrack0032,train,13,26,33,43,0,1,12,4,4,5,4,5,4
dancetrack0033,train,48,104,112,167,4,3,45,13,15,20,13,20,15
dancetrack0037,train,30,65,72,107,2,1,29,8,6,16,8,16,6
dancetrack0039,train,6,13,14,20,0,0,6,1,0,5,1,5,0
dancetrack0044,train,37,77,90,111,2,4,33,0,10,27,0,27,10
dancetrack0045,train,58,126,130,187,4,0,58,17,13,28,17,28,13
dancetrack0049,train,36,77,82,120,2,5,31,12,8,16,12,16,8
dancetrack0051,train,29,64,75,109,2,2,27,6,9,14,6,14,9
dancetrack0052,train,13,27,27,38,2,0,13,3,4,6,3,6,4
dancetrack0053,train,11,22,24,31,0,1,10,2,3,6,2,6,3
dancetrack0055,train,16,33,35,51,0,2,14,4,4,8,4,8,4
dancetrack0057,train,11,23,22,27,0,0,11,0,1,10,0,10,1
dancetrack0061,train,14,30,33,43,3,2,12,4,1,9,4,9,1
dancetrack0062,train,11,25,25,38,0,0,11,2,2,7,2,7,2
dancetrack0066,train,16,34,34,52,0,0,16,1,2,13,1,13,2
dancetrack0068,train,36,79,83,101,2,0,36,3,9,24,3,24,9
dancetrack0069,train,4,9,9,15,0,0,4,1,1,2,1,2,1
dancetrack0072,train,19,40,43,57,0,0,19,2,5,12,2,12,5
dancetrack0074,train,5,10,10,13,1,0,5,0,1,4,0,4,1
dancetrack0075,train,1,3,3,4,0,0,1,0,0,1,0,1,0
dancetrack0080,train,6,12,13,20,2,1,5,2,2,2,2,2,2
dancetrack0082,train,13,26,32,36,0,0,13,0,3,10,0,10,3
dancetrack0083,train,25,52,54,68,1,1,24,4,4,17,4,17,4
dancetrack0086,train,38,81,94,123,1,2,36,5,11,22,5,22,11
dancetrack0087,train,45,96,98,128,5,0,45,5,13,27,5,27,13
dancetrack0096,train,60,129,137,174,3,4,56,11,8,41,11,41,8
dancetrack0098,train,33,73,79,117,4,3,30,7,12,14,7,14,12
dancetrack0099,train,10,23,24,34,1,0,10,1,2,7,1,7,2
