seq_id,seq_name,status,started_at,finished_at,result_file,reentry_summary_csv,notes
4,dancetrack0004,success,2026-06-02T11:11:32+08:00,2026-06-02T11:20:55+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0004.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0004_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0004.log
5,dancetrack0005,success,2026-06-02T11:20:55+08:00,2026-06-02T11:30:23+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0005.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0005_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0005.log
7,dancetrack0007,success,2026-06-02T11:30:23+08:00,2026-06-02T11:38:47+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0007.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0007_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0007.log
10,dancetrack0010,success,2026-06-02T11:38:47+08:00,2026-06-02T11:46:49+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0010.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0010_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0010.log
14,dancetrack0014,success,2026-06-02T11:46:49+08:00,2026-06-02T11:54:46+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0014.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0014_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0014.log
18,dancetrack0018,success,2026-06-02T11:54:46+08:00,2026-06-02T11:58:18+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0018.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0018_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0018.log
19,dancetrack0019,success,2026-06-02T11:58:18+08:00,2026-06-02T12:10:47+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0019.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0019_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0019.log
25,dancetrack0025,success,2026-06-02T12:10:47+08:00,2026-06-02T12:15:16+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0025.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0025_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0025.log
26,dancetrack0026,success,2026-06-02T12:15:16+08:00,2026-06-02T12:17:48+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0026.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0026_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0026.log
30,dancetrack0030,success,2026-06-02T12:17:49+08:00,2026-06-02T12:24:27+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0030.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0030_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0030.log
