sequence,action,candidate_reason,suppressor_reason,events
MOT20-01,candidate_default,candidate_support_target,suppressor_segment_missing,4
MOT20-01,candidate_default,candidate_support_target,suppressor_support_other_gt,15
MOT20-01,candidate_default,candidate_support_target,suppressor_support_target,2085
MOT20-01,spawn,candidate_segment_missing,suppressor_segment_missing,99
MOT20-01,spawn,candidate_segment_missing,suppressor_support_other_gt,3
MOT20-01,spawn,candidate_support_other_gt,suppressor_support_other_gt,278
MOT20-01,suppressor_override,candidate_segment_missing,suppressor_support_target,1
MOT20-01,suppressor_override,candidate_support_other_gt,suppressor_support_target,2
MOT20-02,candidate_default,candidate_support_target,suppressor_segment_missing,6
MOT20-02,candidate_default,candidate_support_target,suppressor_support_other_gt,239
MOT20-02,candidate_default,candidate_support_target,suppressor_support_target,19083
MOT20-02,spawn,candidate_segment_missing,suppressor_segment_missing,558
MOT20-02,spawn,candidate_segment_missing,suppressor_segment_unlabeled,1
MOT20-02,spawn,candidate_segment_missing,suppressor_support_other_gt,23
MOT20-02,spawn,candidate_segment_unlabeled,suppressor_segment_unlabeled,17
MOT20-02,spawn,candidate_segment_unlabeled,suppressor_support_other_gt,3
MOT20-02,spawn,candidate_support_other_gt,suppressor_segment_missing,16
MOT20-02,spawn,candidate_support_other_gt,suppressor_support_other_gt,3731
MOT20-02,suppressor_override,candidate_segment_missing,suppressor_support_target,2
MOT20-02,suppressor_override,candidate_segment_unlabeled,suppressor_support_target,1
MOT20-02,suppressor_override,candidate_support_other_gt,suppressor_support_target,25
MOT20-03,candidate_default,candidate_support_target,suppressor_segment_missing,11
MOT20-03,candidate_default,candidate_support_target,suppressor_support_other_gt,76
MOT20-03,candidate_default,candidate_support_target,suppressor_support_target,45086
MOT20-03,spawn,candidate_segment_missing,suppressor_segment_missing,2254
MOT20-03,spawn,candidate_segment_missing,suppressor_segment_unlabeled,1
MOT20-03,spawn,candidate_segment_missing,suppressor_support_other_gt,32
MOT20-03,spawn,candidate_segment_unlabeled,suppressor_segment_unlabeled,28
MOT20-03,spawn,candidate_support_other_gt,suppressor_segment_missing,22
MOT20-03,spawn,candidate_support_other_gt,suppressor_support_other_gt,1775
MOT20-03,suppressor_override,candidate_segment_missing,suppressor_support_target,17
MOT20-03,suppressor_override,candidate_support_other_gt,suppressor_support_target,12
MOT20-05,candidate_default,candidate_support_target,suppressor_segment_missing,24
MOT20-05,candidate_default,candidate_support_target,suppressor_segment_unlabeled,2
MOT20-05,candidate_default,candidate_support_target,suppressor_support_other_gt,361
MOT20-05,candidate_default,candidate_support_target,suppressor_support_target,103817
MOT20-05,spawn,candidate_segment_missing,suppressor_segment_missing,2115
MOT20-05,spawn,candidate_segment_missing,suppressor_segment_unlabeled,1
MOT20-05,spawn,candidate_segment_missing,suppressor_support_other_gt,100
MOT20-05,spawn,candidate_segment_unlabeled,suppressor_segment_unlabeled,121
MOT20-05,spawn,candidate_segment_unlabeled,suppressor_support_other_gt,2
MOT20-05,spawn,candidate_support_other_gt,suppressor_segment_missing,70
MOT20-05,spawn,candidate_support_other_gt,suppressor_support_other_gt,5414
MOT20-05,suppressor_override,candidate_segment_missing,suppressor_support_target,15
MOT20-05,suppressor_override,candidate_segment_unlabeled,suppressor_support_target,1
MOT20-05,suppressor_override,candidate_support_other_gt,suppressor_support_target,47
