sequence,action,events,fraction,replacement_events,addition_events
MOT20-01,candidate_default,2104,0.8459991958182549,2072,32
MOT20-01,suppressor_override,3,0.0012062726176115801,3,0
MOT20-01,spawn,380,0.1527945315641335,256,124
MOT20-02,candidate_default,19328,0.8153554102510019,19028,300
MOT20-02,suppressor_override,28,0.001181185403923223,28,0
MOT20-02,spawn,4349,0.18346340434507488,2378,1971
MOT20-03,candidate_default,45173,0.9160279028267835,44964,209
MOT20-03,suppressor_override,29,0.0005880682970353247,27,2
MOT20-03,spawn,4112,0.08338402887618121,3163,949
MOT20-05,candidate_default,104204,0.9296458203229547,103560,644
MOT20-05,suppressor_override,63,0.000562048354001249,63,0
MOT20-05,spawn,7823,0.06979213132304399,5198,2625
COMBINED,candidate_default,170809,0.9105151495767501,169624,1185
COMBINED,suppressor_override,123,0.0006556642998784623,121,2
COMBINED,spawn,16664,0.0888291861233715,10995,5669
