variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
postnms_context,MOT20-01,83.936316,82.64489,85.34804,97.67169349908295,95.40010065425264,0,215,699,19386
postnms_context,MOT20-02,82.984376,81.67951,84.35261,96.88700847502237,93.88142844218117,6,1965,7497,149210
postnms_context,MOT20-03,83.58092,82.671136,84.52506699999999,98.43321601259957,96.87908486313118,0,3628,6161,311125
postnms_context,MOT20-05,83.850044,82.58833,85.15859999999999,97.85409323627007,95.72069981310261,0,11945,15714,642575
postnms_context,COMBINED,83.67567,82.4802,84.924036,97.88099658382478,95.7844694318949,6,17753,30071,1122296
candidate_default_safe,MOT20-01,84.50765,83.31684,85.80185999999999,97.99131516798295,96.019124308002,0,215,576,19509
candidate_default_safe,MOT20-02,83.89276,82.63954,85.20546,97.50611534788808,95.03237647180468,43,1974,5670,151046
candidate_default_safe,MOT20-03,83.997995,83.096564,84.93245999999999,98.59065797527138,97.18610716130307,3,3630,5193,312095
candidate_default_safe,MOT20-05,84.381396,83.137816,85.66825999999999,98.07961318221263,96.15715470399662,25,11948,12865,645427
candidate_default_safe,COMBINED,84.22589,83.053607,85.44718,98.14190271672094,96.28578529790748,71,17767,24304,1128077
candidate_suppressor_safe,MOT20-01,84.50818,83.317566,85.80217999999999,97.99131516798295,96.019124308002,0,215,576,19509
candidate_suppressor_safe,MOT20-02,83.89316,82.640004,85.2058,97.50611534788808,95.03237647180468,43,1974,5670,151046
candidate_suppressor_safe,MOT20-03,83.99893,83.097285,84.93362,98.5909820936309,97.18674479847476,3,3630,5191,312097
candidate_suppressor_safe,MOT20-05,84.38191400000001,83.1384,85.668725,98.07961318221263,96.15715470399662,25,11948,12865,645427
candidate_suppressor_safe,COMBINED,84.22652000000001,83.054215,85.44781,98.14199274934779,96.28596156930904,71,17767,24302,1128079
candidate_suppressor_episode_spawn,MOT20-01,83.62174,83.72448,83.625335,96.38499316490304,94.23251132360342,478,215,453,19632
candidate_suppressor_episode_spawn,MOT20-02,82.81557600000001,83.4271,82.27370400000001,95.336875111696,93.57317341122643,4284,1966,3695,153013
candidate_suppressor_episode_spawn,MOT20-03,83.3777,83.297104,83.490074,97.43866322857362,96.11136970840852,4329,3628,4240,313046
candidate_suppressor_episode_spawn,MOT20-05,83.861715,83.36204000000001,84.39727,97.08156416294291,95.31441461512755,8099,11945,10241,648048
candidate_suppressor_episode_spawn,COMBINED,83.59732600000001,83.351684,83.886725,96.93138589981365,95.27830610233966,17190,17754,18629,1133739
oracle_linked_spawn,MOT20-01,84.89782,83.727986,86.17115,98.30894638246164,96.63814796175139,0,215,453,19632
oracle_linked_spawn,MOT20-02,84.667206,83.43044499999999,85.96388999999999,98.16119965557017,96.33906760931097,4,1966,3695,153013
oracle_linked_spawn,MOT20-03,84.19784,83.304405,85.123986,98.74454287829661,97.49153536654572,0,3628,4240,313046
oracle_linked_spawn,MOT20-05,84.60988400000001,83.367807,85.89518699999999,98.28599064271101,96.56653422945057,4,11946,10242,648048
oracle_linked_spawn,COMBINED,84.52311,83.357495,85.7376,98.39614910025027,96.79247744166739,8,17755,18630,1133739
