sequence,target_gt_id,local_episode_index,spawn_episode_id,synthetic_tracker_id,first_frame,last_frame,span_frames,observed_frames,events,replacement_events,addition_events
MOT20-01,5,0,0,10000000,240,247,8,3,3,3,0
MOT20-01,6,0,1,10000001,221,221,1,1,1,1,0
MOT20-01,7,0,2,10000002,32,118,87,22,22,12,10
MOT20-01,7,1,3,10000003,156,168,13,7,7,7,0
MOT20-01,8,0,4,10000004,131,131,1,1,1,1,0
MOT20-01,12,0,5,10000005,56,140,85,24,24,18,6
MOT20-01,18,0,6,10000006,410,410,1,1,1,0,1
MOT20-01,20,0,7,10000007,301,353,53,17,17,16,1
MOT20-01,21,0,8,10000008,322,322,1,1,1,0,1
MOT20-01,21,1,9,10000009,360,416,57,18,18,14,4
MOT20-01,22,0,10,10000010,157,157,1,1,1,0,1
MOT20-01,22,1,11,10000011,337,355,19,5,5,5,0
MOT20-01,23,0,12,10000012,156,156,1,1,1,0,1
MOT20-01,23,1,13,10000013,287,314,28,13,13,13,0
MOT20-01,24,0,14,10000014,241,267,27,7,7,3,4
MOT20-01,26,0,15,10000015,162,162,1,1,1,0,1
MOT20-01,26,1,16,10000016,248,248,1,1,1,1,0
MOT20-01,28,0,17,10000017,147,147,1,1,1,0,1
MOT20-01,28,1,18,10000018,326,332,7,3,3,2,1
MOT20-01,29,0,19,10000019,149,187,39,9,9,6,3
MOT20-01,29,1,20,10000020,281,325,45,6,6,3,3
MOT20-01,30,0,21,10000021,13,13,1,1,1,0,1
MOT20-01,30,1,22,10000022,111,174,64,15,15,5,10
MOT20-01,30,2,23,10000023,294,348,55,10,10,4,6
MOT20-01,31,0,24,10000024,247,247,1,1,1,1,0
MOT20-01,32,0,25,10000025,17,21,5,2,2,2,0
MOT20-01,32,1,26,10000026,192,247,56,5,5,5,0
MOT20-01,35,0,27,10000027,111,140,30,10,10,10,0
MOT20-01,36,0,28,10000028,78,98,21,5,5,5,0
MOT20-01,37,0,29,10000029,30,30,1,1,1,1,0
MOT20-01,38,0,30,10000030,79,81,3,3,3,3,0
