sequence,frame,crop_start,crop_end,crops,norm_min,norm_max,norm_mean
MOT20-01,1,0,15,15,0.999663233757019,1.000349998474121,1.0000449419021606
MOT20-01,2,15,30,15,0.9995924830436707,1.0003931522369385,1.0000081062316895
MOT20-01,3,30,45,15,0.9996228218078613,1.000306487083435,0.9999179840087891
MOT20-01,4,45,60,15,0.9996512532234192,1.0004171133041382,0.9999197721481323
MOT20-01,5,60,75,15,0.999651312828064,1.0003726482391357,0.9999247789382935
MOT20-01,6,75,90,15,0.9996669888496399,1.0003786087036133,1.000063419342041
MOT20-01,7,90,105,15,0.9996446967124939,1.0004076957702637,0.9999882578849792
MOT20-01,8,105,120,15,0.9995802640914917,1.0003821849822998,1.0000368356704712
MOT20-01,9,120,135,15,0.9996482133865356,1.0003741979599,1.0000401735305786
MOT20-01,10,135,150,15,0.9995829463005066,1.000232458114624,0.9999533891677856
MOT20-01,11,150,165,15,0.9996100664138794,1.0002362728118896,0.999878466129303
MOT20-01,12,165,180,15,0.9996395111083984,1.000260353088379,0.9998950362205505
MOT20-01,13,180,195,15,0.9996137619018555,1.0003316402435303,0.9999663829803467
MOT20-01,14,195,210,15,0.9996436238288879,1.0004045963287354,0.9999700784683228
MOT20-01,15,210,225,15,0.9995932579040527,1.0003246068954468,1.000006914138794
MOT20-01,16,225,240,15,0.9996873140335083,1.0003457069396973,1.0000361204147339
MOT20-01,17,240,255,15,0.999752402305603,1.0003637075424194,1.0000582933425903
MOT20-01,18,255,270,15,0.9996882677078247,1.000399112701416,1.0000663995742798
MOT20-01,19,270,285,15,0.9996522068977356,1.0003366470336914,1.0000048875808716
MOT20-01,20,285,300,15,0.9996055364608765,1.0003911256790161,0.9999698400497437
MOT20-01,21,300,315,15,0.9995796084403992,1.0003857612609863,1.0000741481781006
MOT20-01,22,315,330,15,0.9996640682220459,1.0004149675369263,1.0000591278076172
MOT20-01,23,330,345,15,0.9997046589851379,1.0003968477249146,1.0000582933425903
MOT20-01,24,345,360,15,0.9996623992919922,1.0003489255905151,1.0000818967819214
MOT20-01,25,360,375,15,0.9996574521064758,1.0003149509429932,0.9999800324440002
MOT20-01,26,375,390,15,0.9996315240859985,1.0003719329833984,1.0000193119049072
MOT20-01,27,390,405,15,0.9996615648269653,1.0004154443740845,1.0000802278518677
MOT20-01,28,405,420,15,0.9995864629745483,1.0004299879074097,0.9999838471412659
MOT20-01,29,420,435,15,0.9997928142547607,1.0003669261932373,1.0001177787780762
MOT20-01,30,435,450,15,0.9996412992477417,1.0002923011779785,1.0000168085098267
MOT20-01,31,450,465,15,0.9996516704559326,1.0003836154937744,1.0000625848770142
MOT20-01,32,465,480,15,0.9996434450149536,1.0003780126571655,1.0000317096710205
MOT20-01,33,480,495,15,0.9996084570884705,1.0003721714019775,1.0000001192092896
MOT20-01,34,495,510,15,0.9997538328170776,1.0004223585128784,1.000059723854065
MOT20-01,35,510,525,15,0.9996469616889954,1.0003806352615356,1.0000067949295044
MOT20-01,36,525,540,15,0.999647855758667,1.0003632307052612,0.9999592304229736
MOT20-01,37,540,555,15,0.9997938871383667,1.0003905296325684,1.0001364946365356
MOT20-01,38,555,571,16,0.9995848536491394,1.0003951787948608,0.9999628067016602
MOT20-01,39,571,586,15,0.9996314644813538,1.0003911256790161,1.0000395774841309
MOT20-01,40,586,601,15,0.9996035099029541,1.0004023313522339,0.9999939203262329
MOT20-01,41,601,616,15,0.9996300935745239,1.0003010034561157,0.9999474287033081
MOT20-01,42,616,631,15,0.9996050596237183,1.000351905822754,0.999977171421051
MOT20-01,43,631,646,15,0.999724268913269,1.0002942085266113,0.9999598264694214
MOT20-01,44,646,661,15,0.9996912479400635,1.000314474105835,0.9999797940254211
MOT20-01,45,661,676,15,0.9996342658996582,1.0002756118774414,0.999916136264801
MOT20-01,46,676,691,15,0.9996176362037659,1.0003995895385742,1.0000137090682983
MOT20-01,47,691,706,15,0.9996199607849121,1.000199317932129,0.9999076128005981
MOT20-01,48,706,721,15,0.999611496925354,1.0004115104675293,1.000079870223999
MOT20-01,49,721,736,15,0.999601423740387,1.000396728515625,1.0000032186508179
MOT20-01,50,736,751,15,0.9996064901351929,1.0004075765609741,1.000020146369934
MOT20-01,51,751,766,15,0.9996008276939392,1.0003745555877686,1.0000367164611816
MOT20-01,52,766,781,15,0.9996606707572937,1.0003575086593628,1.0000325441360474
MOT20-01,53,781,796,15,0.9996494650840759,1.0003384351730347,0.999990701675415
MOT20-01,54,796,811,15,0.9998336434364319,1.000375509262085,1.0000865459442139
MOT20-01,55,811,826,15,0.9995959401130676,1.0003862380981445,0.9999387860298157
MOT20-01,56,826,841,15,0.999640166759491,1.0003619194030762,1.0000516176223755
MOT20-01,57,841,856,15,0.9996976852416992,1.0003881454467773,1.0000895261764526
MOT20-01,58,856,871,15,0.9997809529304504,1.0003589391708374,1.0000590085983276
MOT20-01,59,871,887,16,0.9996134638786316,1.0003598928451538,1.0000379085540771
MOT20-01,60,887,902,15,0.9996538758277893,1.0003812313079834,0.9999582171440125
MOT20-01,61,902,917,15,0.9996823072433472,1.000410556793213,1.00005304813385
MOT20-01,62,917,933,16,0.9996253848075867,1.0004372596740723,1.0001044273376465
MOT20-01,63,933,949,16,0.9997061491012573,1.0003257989883423,1.0000392198562622
MOT20-01,64,949,964,15,0.99979567527771,1.0003448724746704,1.0000529289245605
MOT20-01,65,964,980,16,0.9997128248214722,1.000368356704712,1.000016689300537
MOT20-01,66,980,995,15,0.9996220469474792,1.0003153085708618,0.9999570846557617
MOT20-01,67,995,1010,15,0.999625027179718,1.0002789497375488,0.9999890923500061
MOT20-01,68,1010,1025,15,0.999618411064148,1.000402808189392,1.000089406967163
MOT20-01,69,1025,1040,15,0.9996318221092224,1.0004005432128906,1.0000826120376587
MOT20-01,70,1040,1055,15,0.9996774196624756,1.000412940979004,0.9999706149101257
MOT20-01,71,1055,1070,15,0.9996674060821533,1.000380516052246,1.000036358833313
MOT20-01,72,1070,1085,15,0.9996589422225952,1.0003116130828857,0.9999495148658752
MOT20-01,73,1085,1100,15,0.999695360660553,1.0003528594970703,1.0000261068344116
MOT20-01,74,1100,1115,15,0.9996127486228943,1.0002762079238892,0.9999415278434753
MOT20-01,75,1115,1130,15,0.9996805191040039,1.0004169940948486,1.0000358819961548
MOT20-01,76,1130,1145,15,0.9996579885482788,1.0004061460494995,0.9999858140945435
MOT20-01,77,1145,1160,15,0.9996625781059265,1.0003399848937988,0.9999076724052429
MOT20-01,78,1160,1175,15,0.9996080994606018,1.00026273727417,0.9999933838844299
MOT20-01,79,1175,1190,15,0.9995969533920288,1.000389575958252,1.0000252723693848
MOT20-01,80,1190,1205,15,0.9995898008346558,1.000412106513977,0.9998571872711182
MOT20-01,81,1205,1221,16,0.9996175169944763,1.0003656148910522,0.9999630451202393
MOT20-01,82,1221,1236,15,0.9997580647468567,1.0003777742385864,1.0000150203704834
MOT20-01,83,1236,1252,16,0.9996103644371033,1.000349760055542,0.9999586939811707
MOT20-01,84,1252,1267,15,0.9996253252029419,1.0002864599227905,1.0000096559524536
MOT20-01,85,1267,1282,15,0.9996156692504883,1.0003304481506348,1.0000559091567993
MOT20-01,86,1282,1297,15,0.9996388554573059,1.000353217124939,0.9999902248382568
MOT20-01,87,1297,1312,15,0.9996092319488525,1.0003492832183838,0.9999948143959045
MOT20-01,88,1312,1327,15,0.9996808767318726,1.0003019571304321,1.000009298324585
MOT20-01,89,1327,1343,16,0.9996650815010071,1.0003854036331177,0.9999171495437622
MOT20-01,90,1343,1358,15,0.9996683597564697,1.000307321548462,1.0000214576721191
MOT20-01,91,1358,1373,15,0.9996503591537476,1.0003859996795654,0.9999464750289917
MOT20-01,92,1373,1389,16,0.9996758103370667,1.0002589225769043,0.9998866319656372
MOT20-01,93,1389,1405,16,0.9995958805084229,1.0003658533096313,0.9999709129333496
MOT20-01,94,1405,1421,16,0.9995729923248291,1.0004081726074219,1.0000356435775757
MOT20-01,95,1421,1437,16,0.9996026158332825,1.000235676765442,0.9998925924301147
MOT20-01,96,1437,1453,16,0.9995799660682678,1.0003669261932373,1.0000150203704834
MOT20-01,97,1453,1469,16,0.999589204788208,1.0002140998840332,0.9998613595962524
