shard,start_crop,end_crop,crops,frames,embedding_path,embedding_sha256,embedding_size_bytes,report_sha256,manifest_sha256,frame_summary_sha256
0,0,36707,36707,1884,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_00/candidate_embeddings.f16,ac4a217fcb58c24a06e98efa1d22ec809d8bb09f1a9e9fcfde0c664e3c75366d,150351872,8a4de2914ca596557cbe557408013ddc8f6620579d579036df89c7a9b10fe76a,4d8adee8748616fa0f171542bdeae0d28af2739a34583fdb95156485e55e3c35,5b8367605559b3b22ce998e078a95c943db0c616687c2ebb31ae9578f2170fa4
1,36707,41894,5187,247,outputs/mot20_m23_20260717/candidate_reid_shards_v1/tail_00/candidate_embeddings.f16,e8644c2af21b9ded1599868f17887a693a7f418d4ef9ca4f47508d8774111f80,21245952,a2388e90c57d7e2c970e6e11415be3abb117e69404a81bb89eb330fa01402e66,009cc18647afa4f51e3343aa263cb647d035601d879bd7cfdf210be42674b0fa,c7fb6be6d22264f6d4d60b39f652e22318997ac1c77c2b2eb31cb359e5a849a0
2,41894,47102,5208,248,outputs/mot20_m23_20260717/candidate_reid_shards_v1/tail_01/candidate_embeddings.f16,2ba22065031fbe9d4b75c83d54de25e258f924894f1efb0b6c797cfbf67ee657,21331968,bd4cf713220fc12d67f027e1723cc9fc407c1f05e2bc5cec3b1b309cc8e707c1,bac42e612a8cbfecbfb74170db1199bf73eec6fa060b79e1a641fa421dbb9902,92d12f05214e61c8b0cfd369bff511b1273ef5ee99a2122828ccaa5faeb6ccd4
3,47102,52289,5187,247,outputs/mot20_m23_20260717/candidate_reid_shards_v1/tail_02/candidate_embeddings.f16,50b64460592b03e4c074da097918a5213363da461987bac7232654d1e0bc053f,21245952,9bb0fc591f298a136f6b4279914d4c3cdc27aa1d487645f3ddab6701e768f7c8,2c86bb3aec97908e3484b68766dbece68c6d342322be4bb4d89003642dd35d2f,10fdb178f4026d0d3c90e8fbe08bc88ab97dab2195592480a20ec8bcc852ed25
4,52289,57494,5205,248,outputs/mot20_m23_20260717/candidate_reid_shards_v1/tail_03/candidate_embeddings.f16,935a175e507d16b080bc11cac231ad16574d7eabbfd07c413f818c6be3313214,21319680,7f5279d1774ef645d52ccae4ef39a7c27ea65d4b25854e677185bb2d69852474,96bf2c40a443a09971ac07b28de3b2bec2a200d339b4a02502ac2ccececb2a0b,e4dc92b7a7062fc24072ff72038fe29078488fef9f22ebdc342cdce0884f6bc7
5,57494,114957,57463,1338,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_01/candidate_embeddings.f16,e7f622989f7c3b8253d576101bcb92e6ad5906af3da87fb8bdd5de8e3b638aa1,235368448,b43e447c507238eeec22dde1014ab3498db4195bd37bafbd6f9d098d214ad7bd,a7a8014550e1d1a7d2a2cb80271f998ad7c15737f256b5bd10fe434a872c5e99,11b671642aca456a47cf28c721fef2b586eb8ab5e4802390584b3e84266ae083
6,114957,172476,57519,1128,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_02/candidate_embeddings.f16,fcb0fee48271ee294ebcd91272a8790de416968ef56d8706cfbd24921db60159,235597824,9344377089d55c04e58d7b73990475ab376706891975d543f8f483179fd1e7c5,f0d1363924291ae15b7ae4a9f0531a0475971aa1a90c380ecf85817413ea0df5,5275ffd6b3d3dd4d6b4e9a398281902b2bb07d350cfd97950798f0a75a306240
7,172476,229980,57504,804,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_03/candidate_embeddings.f16,7b04d337a297cda7ac0726ca833cd38edc9e7828259a6965c100e2ec38bd3daf,235536384,8651803f72ac0bbaa591373c077d71c4fa440a4bb2e1cf6dc2db06e376b53766,5f3eb9d070fec619220b2eacbe1dc84354f8707b919d595da2f97d59815346b2,25da768cd2f41aaf9cc08956186f94d804371a2148d064858e8bf8c78d1593fb
8,229980,287417,57437,694,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_04/candidate_embeddings.f16,6a8d30e66cbfa55261b68ef7970d129791eb9c27c1f0874114bbcfb5fc061716,235261952,628539cae2111efd69f6b21f5f4a11266c5e8c64bfcaaca6397dcca15de999a0,2e21b444e348b69d31070bdc2e1e26a9414950dd19eaaf0c7e2989946febae4b,8ff8191d636325bce35f959e56b728ff805e6dd0bf0a420f546e665d2230cbeb
9,287417,344952,57535,697,outputs/mot20_m23_20260717/candidate_reid_shards_v1/shard_05/candidate_embeddings.f16,c6528022baf90265aa8cafec1085c8e2c222b6739169b0e53e3f868448fa299b,235663360,e07588effcbdea4eeaad155913a71fc75a52ccb2bbb630268c030c3d4fd7491a,73aa7cf044d602ca37f80bded2543157bbe558f4c76638bbd5f611978f7029c7,d5a87b1fd542a3202b63ae15540a949f710ce7d67bea434d9b6ec17e2d402c19
