variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
baseline_raw,MOT20-01,77.029973,80.422163,73.92996,88.33255825970134,92.06844489179667,50,246,1280,18836
baseline_raw,MOT20-02,68.74833,78.84434999999999,60.05281,75.20490779565505,90.75041036047098,428,2329,11556,145515
baseline_raw,MOT20-03,80.05449,80.91087300000001,79.24064,94.16899509247794,94.3059000567497,178,3689,13993,303354
baseline_raw,MOT20-05,78.53901,81.42686,75.80161,90.304089315242,93.99808770561806,566,12302,25925,632721
baseline_raw,COMBINED,77.69901999999999,80.90724,74.672127,89.30846875223709,93.60645999432407,1222,18566,52754,1100426
m23_selected_replacement_oracle,MOT20-01,77.26649,80.741096,74.07010000000001,88.33772541724797,92.09864116758934,50,243,1277,18836
m23_selected_replacement_oracle,MOT20-02,68.958074,79.153436,60.17441,75.21265045394294,90.85251580049373,423,2253,11479,145516
m23_selected_replacement_oracle,MOT20-03,80.32343,81.21066,79.477453,94.17774694819549,94.33905718967793,178,3637,13941,303354
m23_selected_replacement_oracle,MOT20-05,78.85672,81.805,76.05735,90.32616182298496,94.04697807978414,568,12155,25754,632745
m23_selected_replacement_oracle,COMBINED,77.98707,81.25291999999999,74.90114,89.32465051351974,93.65793124357711,1219,18288,52451,1100451
dense_replacement_oracle,MOT20-01,77.31153400000001,80.779403,74.122256,88.39288020873698,92.15400100654253,50,239,1270,18839
dense_replacement_oracle,MOT20-02,68.966925,79.15617999999999,60.18844,75.2255567730311,90.89322872911039,423,2221,11448,145515
dense_replacement_oracle,MOT20-03,80.33805000000001,81.22536500000001,79.491913,94.1903885175653,94.36583795088919,180,3594,13898,303354
dense_replacement_oracle,MOT20-05,78.871155,81.82136,76.07005,90.33673887413885,94.0757553253376,567,12064,25660,632748
dense_replacement_oracle,COMBINED,78.00133,81.267375,74.91532,89.33688877753269,93.68824992464397,1220,18118,52276,1100456
