sequence,scope,utility_bin,count
MOT20-01,dense_candidates,"(-inf,0]",3578
MOT20-01,dense_candidates,"(0,0.01]",708
MOT20-01,dense_candidates,"(0.01,0.02]",550
MOT20-01,dense_candidates,"(0.02,0.05]",706
MOT20-01,dense_candidates,"(0.05,0.10]",175
MOT20-01,dense_candidates,"(0.10,0.20]",89
MOT20-01,dense_candidates,"(0.20,0.40]",12
MOT20-01,dense_candidates,"(0.40,inf)",0
MOT20-01,selected_candidates,"(-inf,0]",243
MOT20-01,selected_candidates,"(0,0.01]",688
MOT20-01,selected_candidates,"(0.01,0.02]",530
MOT20-01,selected_candidates,"(0.02,0.05]",675
MOT20-01,selected_candidates,"(0.05,0.10]",145
MOT20-01,selected_candidates,"(0.10,0.20]",60
MOT20-01,selected_candidates,"(0.20,0.40]",8
MOT20-01,selected_candidates,"(0.40,inf)",0
MOT20-01,dense_group_best,"(-inf,0]",3399
MOT20-01,dense_group_best,"(0,0.01]",700
MOT20-01,dense_group_best,"(0.01,0.02]",549
MOT20-01,dense_group_best,"(0.02,0.05]",703
MOT20-01,dense_group_best,"(0.05,0.10]",168
MOT20-01,dense_group_best,"(0.10,0.20]",81
MOT20-01,dense_group_best,"(0.20,0.40]",11
MOT20-01,dense_group_best,"(0.40,inf)",0
MOT20-01,selected_group_best,"(-inf,0]",240
MOT20-01,selected_group_best,"(0,0.01]",687
MOT20-01,selected_group_best,"(0.01,0.02]",530
MOT20-01,selected_group_best,"(0.02,0.05]",675
MOT20-01,selected_group_best,"(0.05,0.10]",144
MOT20-01,selected_group_best,"(0.10,0.20]",60
MOT20-01,selected_group_best,"(0.20,0.40]",8
MOT20-01,selected_group_best,"(0.40,inf)",0
MOT20-02,dense_candidates,"(-inf,0]",31191
MOT20-02,dense_candidates,"(0,0.01]",7300
MOT20-02,dense_candidates,"(0.01,0.02]",5358
MOT20-02,dense_candidates,"(0.02,0.05]",5898
MOT20-02,dense_candidates,"(0.05,0.10]",1315
MOT20-02,dense_candidates,"(0.10,0.20]",315
MOT20-02,dense_candidates,"(0.20,0.40]",35
MOT20-02,dense_candidates,"(0.40,inf)",0
MOT20-02,selected_candidates,"(-inf,0]",3565
MOT20-02,selected_candidates,"(0,0.01]",7060
MOT20-02,selected_candidates,"(0.01,0.02]",5232
MOT20-02,selected_candidates,"(0.02,0.05]",5694
MOT20-02,selected_candidates,"(0.05,0.10]",1193
MOT20-02,selected_candidates,"(0.10,0.20]",236
MOT20-02,selected_candidates,"(0.20,0.40]",17
MOT20-02,selected_candidates,"(0.40,inf)",0
MOT20-02,dense_group_best,"(-inf,0]",30014
MOT20-02,dense_group_best,"(0,0.01]",7258
MOT20-02,dense_group_best,"(0.01,0.02]",5334
MOT20-02,dense_group_best,"(0.02,0.05]",5863
MOT20-02,dense_group_best,"(0.05,0.10]",1302
MOT20-02,dense_group_best,"(0.10,0.20]",312
MOT20-02,dense_group_best,"(0.20,0.40]",34
MOT20-02,dense_group_best,"(0.40,inf)",0
MOT20-02,selected_group_best,"(-inf,0]",3510
MOT20-02,selected_group_best,"(0,0.01]",7059
MOT20-02,selected_group_best,"(0.01,0.02]",5231
MOT20-02,selected_group_best,"(0.02,0.05]",5693
MOT20-02,selected_group_best,"(0.05,0.10]",1193
MOT20-02,selected_group_best,"(0.10,0.20]",236
MOT20-02,selected_group_best,"(0.20,0.40]",17
MOT20-02,selected_group_best,"(0.40,inf)",0
MOT20-03,dense_candidates,"(-inf,0]",60038
MOT20-03,dense_candidates,"(0,0.01]",18602
MOT20-03,dense_candidates,"(0.01,0.02]",13393
MOT20-03,dense_candidates,"(0.02,0.05]",11767
MOT20-03,dense_candidates,"(0.05,0.10]",1633
MOT20-03,dense_candidates,"(0.10,0.20]",488
MOT20-03,dense_candidates,"(0.20,0.40]",74
MOT20-03,dense_candidates,"(0.40,inf)",1
MOT20-03,selected_candidates,"(-inf,0]",1510
MOT20-03,selected_candidates,"(0,0.01]",18441
MOT20-03,selected_candidates,"(0.01,0.02]",13289
MOT20-03,selected_candidates,"(0.02,0.05]",11586
MOT20-03,selected_candidates,"(0.05,0.10]",1486
MOT20-03,selected_candidates,"(0.10,0.20]",370
MOT20-03,selected_candidates,"(0.20,0.40]",46
MOT20-03,selected_candidates,"(0.40,inf)",1
MOT20-03,dense_group_best,"(-inf,0]",59090
MOT20-03,dense_group_best,"(0,0.01]",18575
MOT20-03,dense_group_best,"(0.01,0.02]",13377
MOT20-03,dense_group_best,"(0.02,0.05]",11741
MOT20-03,dense_group_best,"(0.05,0.10]",1604
MOT20-03,dense_group_best,"(0.10,0.20]",459
MOT20-03,dense_group_best,"(0.20,0.40]",72
MOT20-03,dense_group_best,"(0.40,inf)",1
MOT20-03,selected_group_best,"(-inf,0]",1479
MOT20-03,selected_group_best,"(0,0.01]",18441
MOT20-03,selected_group_best,"(0.01,0.02]",13289
MOT20-03,selected_group_best,"(0.02,0.05]",11585
MOT20-03,selected_group_best,"(0.05,0.10]",1485
MOT20-03,selected_group_best,"(0.10,0.20]",370
MOT20-03,selected_group_best,"(0.20,0.40]",46
MOT20-03,selected_group_best,"(0.40,inf)",1
MOT20-05,dense_candidates,"(-inf,0]",144472
MOT20-05,dense_candidates,"(0,0.01]",38432
MOT20-05,dense_candidates,"(0.01,0.02]",29494
MOT20-05,dense_candidates,"(0.02,0.05]",32457
MOT20-05,dense_candidates,"(0.05,0.10]",4984
MOT20-05,dense_candidates,"(0.10,0.20]",1129
MOT20-05,dense_candidates,"(0.20,0.40]",192
MOT20-05,dense_candidates,"(0.40,inf)",1
MOT20-05,selected_candidates,"(-inf,0]",4655
MOT20-05,selected_candidates,"(0,0.01]",37853
MOT20-05,selected_candidates,"(0.01,0.02]",29117
MOT20-05,selected_candidates,"(0.02,0.05]",31894
MOT20-05,selected_candidates,"(0.05,0.10]",4624
MOT20-05,selected_candidates,"(0.10,0.20]",872
MOT20-05,selected_candidates,"(0.20,0.40]",112
MOT20-05,selected_candidates,"(0.40,inf)",1
MOT20-05,dense_group_best,"(-inf,0]",141022
MOT20-05,dense_group_best,"(0,0.01]",38360
MOT20-05,dense_group_best,"(0.01,0.02]",29441
MOT20-05,dense_group_best,"(0.02,0.05]",32367
MOT20-05,dense_group_best,"(0.05,0.10]",4920
MOT20-05,dense_group_best,"(0.10,0.20]",1079
MOT20-05,dense_group_best,"(0.20,0.40]",185
MOT20-05,dense_group_best,"(0.40,inf)",1
MOT20-05,selected_group_best,"(-inf,0]",4537
MOT20-05,selected_group_best,"(0,0.01]",37850
MOT20-05,selected_group_best,"(0.01,0.02]",29116
MOT20-05,selected_group_best,"(0.02,0.05]",31892
MOT20-05,selected_group_best,"(0.05,0.10]",4622
MOT20-05,selected_group_best,"(0.10,0.20]",869
MOT20-05,selected_group_best,"(0.20,0.40]",112
MOT20-05,selected_group_best,"(0.40,inf)",1
COMBINED,dense_candidates,"(-inf,0]",239279
COMBINED,dense_candidates,"(0,0.01]",65042
COMBINED,dense_candidates,"(0.01,0.02]",48795
COMBINED,dense_candidates,"(0.02,0.05]",50828
COMBINED,dense_candidates,"(0.05,0.10]",8107
COMBINED,dense_candidates,"(0.10,0.20]",2021
COMBINED,dense_candidates,"(0.20,0.40]",313
COMBINED,dense_candidates,"(0.40,inf)",2
COMBINED,selected_candidates,"(-inf,0]",9973
COMBINED,selected_candidates,"(0,0.01]",64042
COMBINED,selected_candidates,"(0.01,0.02]",48168
COMBINED,selected_candidates,"(0.02,0.05]",49849
COMBINED,selected_candidates,"(0.05,0.10]",7448
COMBINED,selected_candidates,"(0.10,0.20]",1538
COMBINED,selected_candidates,"(0.20,0.40]",183
COMBINED,selected_candidates,"(0.40,inf)",2
COMBINED,dense_group_best,"(-inf,0]",233525
COMBINED,dense_group_best,"(0,0.01]",64893
COMBINED,dense_group_best,"(0.01,0.02]",48701
COMBINED,dense_group_best,"(0.02,0.05]",50674
COMBINED,dense_group_best,"(0.05,0.10]",7994
COMBINED,dense_group_best,"(0.10,0.20]",1931
COMBINED,dense_group_best,"(0.20,0.40]",302
COMBINED,dense_group_best,"(0.40,inf)",2
COMBINED,selected_group_best,"(-inf,0]",9766
COMBINED,selected_group_best,"(0,0.01]",64037
COMBINED,selected_group_best,"(0.01,0.02]",48166
COMBINED,selected_group_best,"(0.02,0.05]",49845
COMBINED,selected_group_best,"(0.05,0.10]",7444
COMBINED,selected_group_best,"(0.10,0.20]",1535
COMBINED,selected_group_best,"(0.20,0.40]",183
COMBINED,selected_group_best,"(0.40,inf)",2
