sequence,gap_pair_id,baseline_track_id,left_segment_id,right_segment_id,left_last_frame,right_first_frame,gap_frames,left_modal_gt_id,right_modal_gt_id,minimum_segment_purity,matched_segment_support,eligible_gap,visible_target_frames,matched_bridge_events,safe_bridge_events
MOT20-01,0,2,1,2,236,238,1,5,5,1.0,237,True,1,0,0
MOT20-01,1,3,3,4,219,222,2,6,6,1.0,220,True,2,1,1
MOT20-01,2,3,4,5,222,227,4,6,6,1.0,4,True,4,0,0
MOT20-01,3,5,7,8,161,163,1,26,26,0.7007874015748031,288,True,1,1,0
MOT20-01,4,7,10,11,332,335,2,14,14,1.0,333,True,2,0,0
MOT20-01,5,15,19,20,28,32,3,37,37,1.0,204,True,3,1,1
MOT20-01,6,18,23,24,64,105,40,36,36,1.0,199,False,0,0,0
MOT20-01,7,21,27,28,156,158,1,22,22,1.0,316,True,1,1,0
MOT20-01,8,23,30,31,305,311,5,10,10,1.0,412,True,5,0,0
MOT20-01,9,24,32,33,101,104,2,77,77,1.0,227,True,2,2,1
MOT20-01,10,24,33,34,273,285,11,77,77,1.0,130,True,11,11,0
MOT20-01,11,24,34,35,288,306,17,77,77,1.0,53,True,17,17,4
MOT20-01,12,24,35,36,354,372,17,77,77,1.0,74,True,17,10,6
MOT20-01,13,24,36,37,396,398,1,77,77,1.0,54,True,1,1,0
MOT20-01,14,25,38,39,155,157,1,23,23,1.0,283,True,1,1,0
MOT20-01,15,25,39,40,285,332,46,23,44,0.532258064516129,190,False,0,0,0
MOT20-01,16,28,43,44,146,152,5,28,28,0.9942528735632183,320,True,5,3,0
MOT20-01,17,28,44,45,325,327,1,28,52,0.7604166666666666,270,False,0,0,0
MOT20-01,18,29,46,47,7,20,12,30,30,1.0,83,True,12,6,0
MOT20-01,19,29,47,48,95,112,16,30,30,1.0,94,True,16,1,0
MOT20-01,20,30,49,50,304,307,2,21,21,1.0,319,True,2,0,0
MOT20-01,21,30,50,51,321,324,2,21,21,1.0,40,True,2,1,0
MOT20-01,22,30,51,52,348,350,1,21,21,1.0,27,True,1,0,0
MOT20-01,23,31,53,54,349,357,7,17,17,1.0,364,True,7,1,0
MOT20-01,24,31,54,55,371,375,3,17,17,1.0,70,True,3,1,0
MOT20-01,25,38,61,62,190,193,2,32,32,1.0,178,True,2,1,0
MOT20-01,26,38,62,63,203,213,9,32,32,1.0,19,True,9,3,2
MOT20-01,27,38,63,64,220,224,3,32,32,0.95,28,True,3,1,0
MOT20-01,28,38,64,65,243,246,2,32,53,0.95,21,False,0,0,0
MOT20-01,29,38,65,66,247,250,2,53,0,0.0,1,False,0,0,0
MOT20-01,30,46,73,74,100,102,1,0,77,0.0,1,False,0,0,0
MOT20-01,31,58,81,82,172,184,11,60,60,0.9065040650406504,255,True,11,7,0
MOT20-01,32,59,83,84,287,312,24,47,47,1.0,197,True,24,7,1
MOT20-01,33,59,84,85,389,391,1,47,47,1.0,117,True,1,1,0
MOT20-01,34,63,87,88,321,326,4,30,29,0.7291666666666666,151,False,0,0,0
MOT20-01,35,64,89,90,221,224,2,77,0,0.0,39,False,0,0,0
MOT20-01,36,72,94,95,352,356,3,44,20,0.9864864864864865,234,False,0,0,0
MOT20-01,37,74,97,98,292,294,1,61,61,1.0,90,True,1,1,0
MOT20-01,38,74,98,99,296,298,1,61,61,1.0,135,True,1,0,0
MOT20-01,39,83,104,105,260,266,5,64,64,1.0,38,True,5,5,0
MOT20-01,40,83,105,106,286,288,1,64,64,1.0,24,True,1,1,0
MOT20-01,41,83,106,107,290,292,1,64,64,1.0,141,True,1,1,0
MOT20-01,42,90,111,112,416,418,1,66,66,1.0,144,True,1,1,0
MOT20-01,43,90,112,113,420,422,1,66,66,1.0,11,True,1,1,0
MOT20-01,44,95,115,116,309,313,3,58,58,0.9782608695652174,104,True,3,1,0
MOT20-01,45,97,117,118,315,319,3,30,30,1.0,14,True,3,3,0
MOT20-01,46,98,119,120,415,418,2,50,51,0.75,125,False,0,0,0
