variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
baseline_raw,MOT20-01,77.029973,80.422163,73.92996,88.33255825970134,92.06844489179667,50,246,1280,18836
baseline_raw,MOT20-02,68.74833,78.84434999999999,60.05281,75.20490779565505,90.75041036047098,428,2329,11556,145515
baseline_raw,MOT20-03,80.05449,80.91087300000001,79.24064,94.16899509247794,94.3059000567497,178,3689,13993,303354
baseline_raw,MOT20-05,78.53901,81.42686,75.80161,90.304089315242,93.99808770561806,566,12302,25925,632721
baseline_raw,COMBINED,77.69901999999999,80.90724,74.672127,89.30846875223709,93.60645999432407,1222,18566,52754,1100426
dense_replacement_context,MOT20-01,77.31153400000001,80.779403,74.122256,88.39288020873698,92.15400100654253,50,239,1270,18839
dense_replacement_context,MOT20-02,68.966925,79.15617999999999,60.18844,75.2255567730311,90.89322872911039,423,2221,11448,145515
dense_replacement_context,MOT20-03,80.33805000000001,81.22536500000001,79.491913,94.1903885175653,94.36583795088919,180,3594,13898,303354
dense_replacement_context,MOT20-05,78.871155,81.82136,76.07005,90.33673887413885,94.0757553253376,567,12064,25660,632748
dense_replacement_context,COMBINED,78.00133,81.267375,74.91532,89.33688877753269,93.68824992464397,1220,18118,52276,1100456
all_existing_id_gap_bridge_oracle,MOT20-01,77.58131,81.056684,74.38589300000001,88.61861939240899,92.6623049823855,47,240,1171,18939
all_existing_id_gap_bridge_oracle,MOT20-02,69.171137,79.471433,60.306984,75.37059667392806,91.46127101885719,385,2240,10588,146394
all_existing_id_gap_bridge_oracle,MOT20-03,80.44908600000001,81.365985,79.57451,94.29045917178152,94.60750243896217,174,3616,13124,304150
all_existing_id_gap_bridge_oracle,MOT20-05,79.00639000000001,81.98136000000001,76.18267,90.4498223440593,94.36739569022069,498,12174,23734,634784
all_existing_id_gap_bridge_oracle,COMBINED,78.13954,81.44535400000001,75.01741,89.44968490955974,94.0075655685546,1104,18270,48617,1104267
safe_existing_id_gap_bridge_oracle,MOT20-01,77.36209600000001,80.83155,74.1715,88.43899289864429,92.23452440865627,50,239,1254,18855
safe_existing_id_gap_bridge_oracle,MOT20-02,68.97724,79.1689,60.196715999999995,75.23502202863223,90.9119696010133,424,2223,11416,145549
safe_existing_id_gap_bridge_oracle,MOT20-03,80.38724,81.293494,79.52280999999999,94.2291680840242,94.47104808421912,182,3595,13565,303688
safe_existing_id_gap_bridge_oracle,MOT20-05,78.90214,81.86267000000001,76.0916,90.35955974700224,94.1398079041501,572,12077,25228,633193
safe_existing_id_gap_bridge_oracle,COMBINED,78.03542999999999,81.31231,74.93957999999999,89.36342831228066,93.75778899255606,1228,18134,51463,1101285
