sequence,frame,variant,gt_id,source,source_uid,score,iou,operation,score_bin
MOT20-01,17,expanded_additive_oracle,32,phase0_postnms,10000638,0.198808297515,0.701123569487,add_missing,low_0p10_0p60
MOT20-01,17,expanded_additive_oracle,41,phase0_postnms,10000637,0.520144879818,0.950310344712,add_missing,low_0p10_0p60
MOT20-01,17,expanded_replace_add_oracle,32,phase0_postnms,10000638,0.198808297515,0.701123569487,add_missing,low_0p10_0p60
MOT20-01,17,expanded_replace_add_oracle,41,phase0_postnms,10000637,0.520144879818,0.950310344712,add_missing,low_0p10_0p60
MOT20-01,18,expanded_additive_oracle,32,phase0_postnms,10000675,0.225025460124,0.708230316384,add_missing,low_0p10_0p60
MOT20-01,18,expanded_additive_oracle,41,phase0_postnms,10000674,0.757881939411,0.9100120874,add_missing,high_ge_0p60
MOT20-01,18,expanded_replace_add_oracle,32,phase0_postnms,10000675,0.225025460124,0.708230316384,add_missing,low_0p10_0p60
MOT20-01,18,expanded_replace_add_oracle,41,phase0_postnms,10000674,0.757881939411,0.9100120874,add_missing,high_ge_0p60
MOT20-01,19,expanded_additive_oracle,32,phase0_postnms,10000713,0.143657714128,0.626916248338,add_missing,low_0p10_0p60
MOT20-01,19,expanded_replace_add_oracle,32,phase0_postnms,10000713,0.143657714128,0.626916248338,add_missing,low_0p10_0p60
MOT20-01,20,expanded_additive_oracle,32,phase0_postnms,10000753,0.128262996674,0.682450977811,add_missing,low_0p10_0p60
MOT20-01,20,expanded_replace_add_oracle,32,phase0_postnms,10000753,0.128262996674,0.682450977811,add_missing,low_0p10_0p60
MOT20-01,21,expanded_additive_oracle,32,phase0_postnms,10000790,0.594007492065,0.838457021708,add_missing,low_0p10_0p60
MOT20-01,21,expanded_replace_add_oracle,32,phase0_postnms,10000790,0.594007492065,0.838457021708,add_missing,low_0p10_0p60
MOT20-01,22,expanded_additive_oracle,32,phase0_postnms,10000830,0.683516323566,0.889833140527,add_missing,high_ge_0p60
MOT20-01,22,expanded_replace_add_oracle,32,phase0_postnms,10000830,0.683516323566,0.889833140527,add_missing,high_ge_0p60
MOT20-01,30,expanded_additive_oracle,37,phase0_postnms,10001130,0.47581627965,0.595477690951,add_missing,low_0p10_0p60
MOT20-01,30,expanded_replace_add_oracle,37,phase0_postnms,10001130,0.47581627965,0.595477690951,add_missing,low_0p10_0p60
MOT20-01,47,expanded_additive_oracle,42,phase0_postnms,10001765,0.460208505392,0.779199789524,add_missing,low_0p10_0p60
MOT20-01,47,expanded_replace_add_oracle,42,phase0_postnms,10001765,0.460208505392,0.779199789524,add_missing,low_0p10_0p60
MOT20-01,48,expanded_additive_oracle,42,phase0_postnms,10001803,0.525402605534,0.87490232397,add_missing,low_0p10_0p60
MOT20-01,48,expanded_replace_add_oracle,42,phase0_postnms,10001803,0.525402605534,0.87490232397,add_missing,low_0p10_0p60
MOT20-01,49,expanded_additive_oracle,42,phase0_postnms,10001841,0.480760991573,0.859238907144,add_missing,low_0p10_0p60
MOT20-01,49,expanded_replace_add_oracle,42,phase0_postnms,10001841,0.480760991573,0.859238907144,add_missing,low_0p10_0p60
MOT20-01,50,expanded_additive_oracle,42,phase0_postnms,10001878,0.43629437685,0.748316337552,add_missing,low_0p10_0p60
MOT20-01,50,expanded_replace_add_oracle,42,phase0_postnms,10001878,0.43629437685,0.748316337552,add_missing,low_0p10_0p60
MOT20-01,51,expanded_additive_oracle,42,phase0_postnms,10001915,0.365905463696,0.74840048106,add_missing,low_0p10_0p60
MOT20-01,51,expanded_replace_add_oracle,42,phase0_postnms,10001915,0.365905463696,0.74840048106,add_missing,low_0p10_0p60
MOT20-01,52,expanded_additive_oracle,42,phase0_postnms,10001952,0.654303252697,0.792658320003,add_missing,high_ge_0p60
MOT20-01,52,expanded_replace_add_oracle,42,phase0_postnms,10001952,0.654303252697,0.792658320003,add_missing,high_ge_0p60
MOT20-01,60,expanded_additive_oracle,55,phase0_postnms,10002257,0.437494575977,0.911751880277,add_missing,low_0p10_0p60
