variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
baseline_raw,MOT20-01,77.03,80.422,73.93,88.333,92.068,50,246,1280,18836
baseline_raw,MOT20-02,68.748,78.844,60.053,75.205,90.75,428,2329,11556,145515
baseline_raw,MOT20-03,80.054,80.911,79.241,94.169,94.306,178,3689,13993,303354
baseline_raw,MOT20-05,78.539,81.427,75.802,90.304,93.998,566,12302,25925,632721
baseline_raw,COMBINED,77.699,80.907,74.672,89.308,93.606,1222,18566,52754,1100426
baseline_id_oracle,MOT20-01,82.178,80.925,83.55,96.218,92.632,0,215,1249,18836
baseline_id_oracle,MOT20-02,81.684,80.292,83.139,95.618,91.497,0,1965,11192,145515
baseline_id_oracle,MOT20-03,82.178,81.183,83.208,97.154,94.402,0,3628,13932,303354
baseline_id_oracle,MOT20-05,82.954,81.663,84.292,97.067,94.196,0,11945,25568,632721
baseline_id_oracle,COMBINED,82.571,81.324,83.872,96.882,93.857,0,17753,51941,1100426
expanded_additive_oracle,MOT20-01,83.848,82.558,85.26,97.638,95.335,0,215,712,19373
expanded_additive_oracle,MOT20-02,82.942,81.627,84.322,96.813,93.735,13,1966,7716,148992
expanded_additive_oracle,MOT20-03,83.536,82.624,84.483,98.418,96.849,0,3628,6256,311030
expanded_additive_oracle,MOT20-05,83.805,82.538,85.119,97.835,95.684,0,11945,15954,642335
expanded_additive_oracle,COMBINED,83.63,82.43,84.884,97.855,95.734,13,17754,30638,1121730
expanded_replace_add_oracle,MOT20-01,83.936,82.645,85.348,97.672,95.4,0,215,699,19386
expanded_replace_add_oracle,MOT20-02,82.984,81.68,84.353,96.887,93.881,6,1965,7497,149210
expanded_replace_add_oracle,MOT20-03,83.581,82.671,84.525,98.433,96.879,0,3628,6161,311125
expanded_replace_add_oracle,MOT20-05,83.85,82.588,85.159,97.854,95.721,0,11945,15714,642575
expanded_replace_add_oracle,COMBINED,83.676,82.48,84.924,97.881,95.784,6,17753,30071,1122296
expanded_selected_ceiling,MOT20-01,84.342,83.377,85.418,98.21,96.482,0,0,699,19171
expanded_selected_ceiling,MOT20-02,83.457,82.537,84.43,97.517,95.151,6,0,7497,147245
expanded_selected_ceiling,MOT20-03,84.012,83.455,84.596,99.008,98.036,0,0,6161,307497
expanded_selected_ceiling,MOT20-05,84.551,83.879,85.256,98.769,97.569,0,0,15714,630630
expanded_selected_ceiling,COMBINED,84.265,83.561,85.011,98.657,97.349,6,0,30071,1104543
