sequence,absolute_margin_bin,cases,appearance_accuracy,candidate_only_accuracy,oracle_candidate_rate
MOT20-01,"[0,0.02)",3,0.6666666666666666,0.3333333333333333,0.3333333333333333
MOT20-01,"[0.02,0.05)",3,1.0,1.0,1.0
MOT20-01,"[0.05,0.10)",3,0.6666666666666666,1.0,1.0
MOT20-01,"[0.10,0.20)",4,1.0,1.0,1.0
MOT20-01,"[0.20,inf)",8,0.875,1.0,1.0
MOT20-02,"[0,0.02)",48,0.625,0.8958333333333334,0.8958333333333334
MOT20-02,"[0.02,0.05)",58,0.5517241379310345,0.9137931034482759,0.9137931034482759
MOT20-02,"[0.05,0.10)",75,0.6666666666666666,0.9333333333333333,0.9333333333333333
MOT20-02,"[0.10,0.20)",76,0.5657894736842105,0.9473684210526315,0.9473684210526315
MOT20-02,"[0.20,inf)",33,0.6666666666666666,0.9393939393939394,0.9393939393939394
MOT20-03,"[0,0.02)",9,0.5555555555555556,0.5555555555555556,0.5555555555555556
MOT20-03,"[0.02,0.05)",10,0.6,0.7,0.7
MOT20-03,"[0.05,0.10)",23,0.6086956521739131,0.7391304347826086,0.7391304347826086
MOT20-03,"[0.10,0.20)",28,0.4642857142857143,0.75,0.75
MOT20-03,"[0.20,inf)",31,0.5806451612903226,0.9032258064516129,0.9032258064516129
MOT20-05,"[0,0.02)",59,0.576271186440678,0.864406779661017,0.864406779661017
MOT20-05,"[0.02,0.05)",93,0.6559139784946236,0.8924731182795699,0.8924731182795699
MOT20-05,"[0.05,0.10)",115,0.6695652173913044,0.9043478260869565,0.9043478260869565
MOT20-05,"[0.10,0.20)",121,0.6942148760330579,0.8842975206611571,0.8842975206611571
MOT20-05,"[0.20,inf)",57,0.40350877192982454,0.8947368421052632,0.8947368421052632
COMBINED,"[0,0.02)",119,0.5966386554621849,0.8403361344537815,0.8403361344537815
COMBINED,"[0.02,0.05)",164,0.6219512195121951,0.8902439024390244,0.8902439024390244
COMBINED,"[0.05,0.10)",216,0.6620370370370371,0.8981481481481481,0.8981481481481481
COMBINED,"[0.10,0.20)",229,0.62882096069869,0.8908296943231441,0.8908296943231441
COMBINED,"[0.20,inf)",129,0.5426356589147286,0.9147286821705426,0.9147286821705426
