sequence,model,cases,correct,accuracy,wilson95_lower,wilson95_upper,oracle_candidate_cases,oracle_suppressor_cases
MOT20-01,appearance,21,18,0.8571428571428571,0.6536393971937906,0.9501898750027473,19,2
MOT20-01,geometry,21,4,0.19047619047619047,0.07667565052761793,0.40000564690204926,19,2
MOT20-01,candidate_only,21,19,0.9047619047619048,0.7108586092608176,0.9734812325619255,19,2
MOT20-01,suppressor_only,21,2,0.09523809523809523,0.02651876743807452,0.2891413907391826,19,2
MOT20-02,appearance,290,177,0.6103448275862069,0.553124036780241,0.6646804903850478,269,21
MOT20-02,geometry,290,50,0.1724137931034483,0.1332945012067281,0.22009830877132042,269,21
MOT20-02,candidate_only,290,269,0.9275862068965517,0.8918403909201299,0.9521521518453647,269,21
MOT20-02,suppressor_only,290,21,0.07241379310344828,0.04784784815463534,0.1081596090798701,269,21
MOT20-03,appearance,101,56,0.5544554455445545,0.45729983104573313,0.6476204945938867,78,23
MOT20-03,geometry,101,28,0.27722772277227725,0.1993181504632866,0.37146233555645136,78,23
MOT20-03,candidate_only,101,78,0.7722772277227723,0.6814098987582484,0.8431917294398499,78,23
MOT20-03,suppressor_only,101,23,0.22772277227722773,0.1568082705601503,0.31859010124175163,78,23
MOT20-05,appearance,445,279,0.6269662921348315,0.5811262610970224,0.6706330133178261,396,49
MOT20-05,geometry,445,87,0.19550561797752808,0.16132964985745937,0.23489368318303697,396,49
MOT20-05,candidate_only,445,396,0.8898876404494382,0.8573998828086244,0.9157016058812197,396,49
MOT20-05,suppressor_only,445,49,0.1101123595505618,0.08429839411878032,0.14260011719137555,396,49
COMBINED,appearance,857,530,0.6184364060676779,0.5854533776857311,0.6503624022351138,762,95
COMBINED,geometry,857,169,0.1971995332555426,0.1719371569885889,0.22516437119407823,762,95
COMBINED,candidate_only,857,762,0.8891481913652275,0.8663676185654252,0.9084556583173513,762,95
COMBINED,suppressor_only,857,95,0.11085180863477247,0.09154434168264867,0.13363238143457476,762,95
