sequence,model_a,model_b,cases,both_correct,a_only_correct,b_only_correct,both_wrong,accuracy_a,accuracy_b,accuracy_gain_a_minus_b,discordant,two_sided_p,a_greater_p,b_greater_p
MOT20-01,appearance,geometry,21,2,16,2,1,0.8571428571428571,0.19047619047619047,0.6666666666666666,18,0.001312255859375,0.0006561279296875,0.9999275207519531
MOT20-01,appearance,candidate_only,21,17,1,2,1,0.8571428571428571,0.9047619047619048,-0.04761904761904767,3,1.0,0.875,0.5
MOT20-01,appearance,suppressor_only,21,1,17,1,2,0.8571428571428571,0.09523809523809523,0.7619047619047619,18,0.00014495849609375,7.2479248046875e-05,0.9999961853027344
MOT20-01,candidate_only,geometry,21,2,17,2,0,0.9047619047619048,0.19047619047619047,0.7142857142857143,19,0.000728607177734375,0.0003643035888671875,0.9999618530273438
MOT20-02,appearance,geometry,290,24,153,26,87,0.6103448275862069,0.1724137931034483,0.4379310344827586,179,4.323794758081699e-23,2.1618973790408494e-23,1.0
MOT20-02,appearance,candidate_only,290,167,10,102,11,0.6103448275862069,0.9275862068965517,-0.3172413793103448,112,2.411372847954166e-20,1.0,1.205686423977083e-20
MOT20-02,appearance,suppressor_only,290,10,167,11,102,0.6103448275862069,0.07241379310344828,0.5379310344827586,178,5.800311145216799e-37,2.9001555726083993e-37,1.0
MOT20-02,candidate_only,geometry,290,30,239,20,1,0.9275862068965517,0.1724137931034483,0.7551724137931034,259,8.410539118256012e-49,4.205269559128006e-49,1.0
MOT20-03,appearance,geometry,101,16,40,12,33,0.5544554455445545,0.27722772277227725,0.27722772277227725,52,0.0001275387838557407,6.376939192787034e-05,0.9999820560419352
MOT20-03,appearance,candidate_only,101,41,15,37,8,0.5544554455445545,0.7722772277227723,-0.2178217821782178,52,0.003185253447776759,0.9994024398399963,0.0015926267238883796
MOT20-03,appearance,suppressor_only,101,15,41,8,37,0.5544554455445545,0.22772277227722773,0.3267326732673268,49,1.9646537765538596e-06,9.823268882769298e-07,0.9999998187710837
MOT20-03,candidate_only,geometry,101,7,71,21,2,0.7722772277227723,0.27722772277227725,0.49504950495049505,92,1.6168121721594925e-07,8.084060860797462e-08,0.9999999769687449
MOT20-05,appearance,geometry,445,46,233,41,125,0.6269662921348315,0.19550561797752808,0.4314606741573034,274,9.043064752693454e-34,4.521532376346727e-34,1.0
MOT20-05,appearance,candidate_only,445,251,28,145,21,0.6269662921348315,0.8898876404494382,-0.2629213483146068,173,3.1033757976418526e-20,1.0,1.5516878988209263e-20
MOT20-05,appearance,suppressor_only,445,28,251,21,145,0.6269662921348315,0.1101123595505618,0.5168539325842697,272,3.4042665003772617e-51,1.7021332501886308e-51,1.0
MOT20-05,candidate_only,geometry,445,38,358,49,0,0.8898876404494382,0.19550561797752808,0.6943820224719102,407,4.201612326242401e-59,2.1008061631212005e-59,1.0
COMBINED,appearance,geometry,857,88,442,81,246,0.6184364060676779,0.1971995332555426,0.4212368728121353,523,3.506913040998188e-61,1.753456520499094e-61,1.0
COMBINED,appearance,candidate_only,857,476,54,286,41,0.6184364060676779,0.8891481913652275,-0.2707117852975496,340,2.788148547827386e-39,1.0,1.394074273913693e-39
COMBINED,appearance,suppressor_only,857,54,476,41,286,0.6184364060676779,0.11085180863477247,0.5075845974329054,517,5.352880943732253e-95,2.6764404718661266e-95,1.0
COMBINED,candidate_only,geometry,857,77,685,92,3,0.8891481913652275,0.1971995332555426,0.6919486581096849,777,7.074979573948066e-113,3.537489786974033e-113,1.0
