sequence,segment_id,baseline_track_id,local_segment_index,first_frame,last_frame,frames,matched_frames,unique_matched_gt,modal_gt_id,modal_count,modal_purity,modal_tied,mean_match_iou,selected_pure_chain,selected_modal_chain,synthetic_chain_id
MOT20-01,0,1,0,1,336,336,336,1,1,336,1.0,False,0.9291742257536587,True,True,10000001
MOT20-01,1,2,0,1,236,236,236,1,5,236,1.0,False,0.9305430393128113,True,True,10000005
MOT20-01,2,2,1,238,238,1,1,1,5,1,1.0,False,0.9154445552141818,True,True,10000005
MOT20-01,3,3,0,1,219,219,219,1,6,219,1.0,False,0.9424777542455941,True,True,10000006
MOT20-01,4,3,1,221,222,2,2,1,6,2,1.0,False,0.8618282384345801,True,True,10000006
MOT20-01,5,3,2,227,229,3,3,1,6,3,1.0,False,0.8270431241261443,True,True,10000006
MOT20-01,6,4,0,1,355,355,351,1,2,351,1.0,False,0.9176591459539273,True,True,10000002
MOT20-01,7,5,0,1,292,292,289,2,26,254,0.8788927335640139,False,0.8696375867548971,False,True,10000026
MOT20-01,8,6,0,1,43,43,42,1,4,42,1.0,False,0.8782078858740219,True,True,10000004
MOT20-01,9,7,0,1,332,332,332,1,14,332,1.0,False,0.9208027041227744,True,True,10000014
MOT20-01,10,7,1,335,335,1,1,1,14,1,1.0,False,0.812858869565218,True,True,10000014
MOT20-01,11,8,0,1,333,333,333,1,15,333,1.0,False,0.9121760945621497,True,True,10000015
MOT20-01,12,9,0,1,341,341,341,1,34,341,1.0,False,0.923130574857607,True,True,10000034
MOT20-01,13,10,0,1,429,429,429,2,7,310,0.7226107226107226,False,0.8724696302919359,False,True,10000007
MOT20-01,14,11,0,1,176,176,165,2,13,163,0.9878787878787879,False,0.8731869353081678,False,True,10000013
MOT20-01,15,12,0,1,229,229,229,1,24,229,1.0,False,0.8872235314978006,True,True,10000024
MOT20-01,16,13,0,1,429,429,424,4,33,219,0.5165094339622641,False,0.8640226743493171,False,True,10000033
MOT20-01,17,14,0,1,369,369,367,1,3,367,1.0,False,0.9078600150059808,True,True,10000003
MOT20-01,18,15,0,1,28,28,28,1,37,28,1.0,False,0.7960785242050729,True,True,10000037
MOT20-01,19,15,1,30,30,1,1,1,37,1,1.0,False,0.6160278531060065,True,True,10000037
MOT20-01,20,15,2,32,211,180,176,1,37,176,1.0,False,0.8150804836315616,True,True,10000037
MOT20-01,21,16,0,1,292,292,281,1,27,281,1.0,False,0.8967953670611165,True,True,10000027
MOT20-01,22,17,0,1,148,148,148,2,29,142,0.9594594594594594,False,0.8731166923812328,False,True,10000029
MOT20-01,23,18,0,1,64,64,64,1,36,64,1.0,False,0.8915039962633788,True,True,10000036
MOT20-01,24,18,1,105,245,141,135,1,36,135,1.0,False,0.8746567881768227,True,True,10000036
MOT20-01,25,19,0,1,102,102,102,1,35,102,1.0,False,0.9048918257222434,True,True,10000035
MOT20-01,26,20,0,1,429,429,429,3,8,341,0.7948717948717948,False,0.8841165501613821,False,True,10000008
MOT20-01,27,21,0,1,322,322,320,1,22,320,1.0,False,0.8758248569285622,True,True,10000022
MOT20-01,28,22,0,1,429,429,429,1,19,429,1.0,False,0.8932652372831947,True,True,10000019
MOT20-01,29,23,0,1,305,305,305,1,10,305,1.0,False,0.8678128768100347,True,True,10000010
MOT20-01,30,23,1,311,429,119,107,1,10,107,1.0,False,0.8614843042756699,True,True,10000010
MOT20-01,31,24,0,1,354,354,311,2,77,307,0.9871382636655949,False,0.8150052665749331,False,True,10000077
MOT20-01,32,24,1,357,360,4,4,1,77,4,1.0,False,0.5858713067167293,True,True,10000077
