variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
all_additions_context,MOT20-01,77.58131,81.056684,74.38589300000001,88.61861939240899,92.6623049823855,47,240,1171,18939
all_additions_context,MOT20-02,69.171137,79.471433,60.306984,75.37059667392806,91.46127101885719,385,2240,10588,146394
all_additions_context,MOT20-03,80.44908600000001,81.365985,79.57451,94.29045917178152,94.60750243896217,174,3616,13124,304150
all_additions_context,MOT20-05,79.00639000000001,81.98136000000001,76.18267,90.4498223440593,94.36739569022069,498,12174,23734,634784
all_additions_context,COMBINED,78.13954,81.44535400000001,75.01741,89.44968490955974,94.0075655685546,1104,18270,48617,1104267
pure_segment_chain_oracle,MOT20-01,78.010696,81.193346,75.08182500000001,88.97936045762582,92.65223955712129,49,240,1171,18939
pure_segment_chain_oracle,MOT20-02,70.8963,80.009615,62.91552,77.57956537909782,91.41086453580799,463,2240,10588,146394
pure_segment_chain_oracle,MOT20-03,80.818033,81.49671000000001,80.17519,94.79967886463109,94.61037180623481,165,3616,13124,304150
pure_segment_chain_oracle,MOT20-05,79.32506000000001,82.03694,76.74244,91.00901705372141,94.3520787692003,597,12174,23734,634784
pure_segment_chain_oracle,COMBINED,78.647774,81.589556,75.85858,90.21354864327313,93.99258249942271,1274,18270,48617,1104267
modal_segment_chain_oracle,MOT20-01,79.88091,81.18643,78.706723,92.7980623051354,92.69250125817817,41,240,1171,18939
modal_segment_chain_oracle,MOT20-02,77.4749,80.2501,74.84994,89.63524786143138,91.48388931253312,350,2240,10588,146394
modal_segment_chain_oracle,MOT20-03,81.5372,81.4998,81.60065,96.13116048999042,94.62248691249705,127,3616,13124,304150
modal_segment_chain_oracle,MOT20-05,81.55616,82.03079,81.115234,94.97942438226313,94.37776168727488,431,12174,23734,634784
modal_segment_chain_oracle,COMBINED,80.99495,81.61953,80.41297,94.5406209619895,94.02122660217483,949,18270,48617,1104267
modal_core_chain_oracle,MOT20-01,81.04782,81.541795,80.65575,93.79783040016491,92.55158530447912,93,228,1159,18939
modal_core_chain_oracle,MOT20-02,80.06079,80.87106,79.311013,92.37487381116838,91.51426244975508,839,1972,10320,146394
modal_core_chain_oracle,MOT20-03,82.144374,81.62378,82.69365400000001,96.4807836738922,94.54055053593405,478,3569,13077,304150
modal_core_chain_oracle,MOT20-05,82.90463,82.197076,83.6466,96.25486290206754,94.33567883356231,1213,11919,23479,634784
modal_core_chain_oracle,COMBINED,82.29819499999999,81.83935,82.79605,95.7527443396947,93.97627739477919,2623,17688,48035,1104267
full_matched_identity_ceiling,MOT20-01,82.720876,81.560135,83.98407,96.50338838929115,93.17060895822848,0,213,1144,18939
full_matched_identity_ceiling,MOT20-02,82.295525,80.929774,83.72064999999999,95.93140640773605,92.08230473950188,0,1952,10300,146394
full_matched_identity_ceiling,MOT20-03,82.61385999999999,81.63576,83.625585,97.30725403361562,94.696134005828,0,3564,13072,304150
full_matched_identity_ceiling,MOT20-05,83.485174,82.20952,84.804153,97.24695736881873,94.54284405827238,4,11854,23414,634784
full_matched_identity_ceiling,COMBINED,83.08602,81.858,84.36325,97.0737614013429,94.22561329227385,4,17583,47930,1104267
