sequence,frame,target_gt_id,inherited_track_id,source_track_id,source_line_index,source_line_sha256,mechanism,action_type,box_choice,candidate_row_index,global_pre_idx,candidate_track_id,candidate_score,candidate_target_iou,source_target_iou,source_best_other_iou,source_best_other_gt_id,candidate_host_iou,gap_frames,minimum_segment_purity,matched_segment_support
MOT20-01,8,30,29,17,261,dcddb82b37fd9321a41bef66e99c83561308bf850ffb731cff6813d3363feb0a,other_target,dual_retention_add,candidate,113,2420,17,0.8347934484481812,0.6079609110639411,0.6079609164448048,0.8948067816648695,29,0.9999999882685818,12,1.0,83
MOT20-01,9,30,29,17,295,2f272d36f37615569498d0b17ce8059026a0ff195ed04494beb28183089af09f,other_target,dual_retention_add,candidate,127,2738,17,0.8699823021888733,0.6465822954007205,0.6465822907030317,0.8522778482088755,29,0.9999999875266712,12,1.0,83
MOT20-01,10,30,29,17,329,201a72b5cf1256b0e927aa01bd47b2152f1fdbd7b8da05185c9e9dbe255feea7,other_target,dual_retention_add,candidate,145,3087,17,0.8485764861106873,0.6315078719053043,0.6315078790287113,0.8640178753602287,29,0.999999987318744,12,1.0,83
MOT20-01,12,30,29,17,397,14ce0f795dd92fc471800c65045e3ab337ae223e9de4be9eff95ebbb23262331,other_target,dual_retention_add,candidate,173,3726,17,0.8689370155334473,0.6622866967360993,0.6622867021875031,0.8460136414211011,29,0.999999987862894,12,1.0,83
MOT20-01,13,30,29,17,431,899b3baff55f15ec1ebe3978754755bc0187a348b67b59a25a80cb14b612ce9f,other_target,dual_retention_add,candidate,185,4022,17,0.8235586881637573,0.7113947295903237,0.6927402968227361,0.8127181825263373,29,0.9677681135689898,12,1.0,83
MOT20-01,14,30,29,17,465,37325ef9394d1e832dfcdcc5d634575557d6ff7c61eb7e874fd498ef91e2abd5,other_target,dual_retention_add,candidate,202,4376,17,0.8854055404663086,0.6753660007878333,0.6753659956066166,0.8336677551440902,29,0.9999999856135323,12,1.0,83
MOT20-01,102,77,24,46,3733,fd72c5efeadbd1f525b0b3037fc735052c9334d492fd1a123555d75c641c04d6,same_target,migrate_replace,candidate,1531,34624,46,0.8506546020507812,0.8984864184635118,0.8984864153882077,0.17477478103088664,78,0.9999999924786992,2,1.0,227
MOT20-01,111,30,29,17,4049,6804d1ce3b52629c5dd27496236bb477c0debc33f93b1989a9d4fb54ccef0ade,other_target,dual_retention_add,candidate,1677,37959,17,0.7614911794662476,0.8140302536064556,0.8140302595484307,0.9147390579552309,29,0.9999999829769174,16,1.0,94
MOT20-01,147,28,28,5,5449,a7e07124ec4c562ff365e208301843ab3f97918a075f0d0c41c4c2f0a5fb5ce3,other_target,dual_retention_add,candidate,2231,51773,5,0.6356983780860901,0.5290044666590968,0.5577482610443207,0.6785578842663246,26,0.9398639476460007,5,0.9942528735632183,320
MOT20-01,150,28,28,12,5577,ca9d307f88397836b4d88e9d17916a12d446fbe84592f8c254629b7bda855417,other_target,dual_retention_add,candidate,2279,53148,12,0.10076624155044556,0.6923384507971184,0.5077706105191863,0.8678490001920126,24,0.603970528169399,5,0.9942528735632183,320
MOT20-01,151,28,28,12,5617,97587d926bd07c69af862f84852b06072befcb38c191ea93a4dee37aa5ceeda4,other_target,dual_retention_add,candidate,2290,53304,12,0.746791660785675,0.5159297084009126,0.515929705756549,0.8895341171366008,24,0.99999998921272,5,0.9942528735632183,320
MOT20-01,156,23,25,21,5828,bada04ca80e9ed5d80c2780a42e7354a8ad484870c6825eb152e12f07f1b9092,other_target,dual_retention_add,candidate,2362,55216,21,0.8661365509033203,0.8433595381832373,0.7293273023863961,0.9071800120381189,22,0.7164812724244545,1,1.0,283
MOT20-01,157,22,21,25,5894,a50111f6abad9163ba441b9b01fd3e60f87eb642b5cf84cf5cdf7d71cff9d27b,other_target,dual_retention_add,candidate,2375,55681,25,0.8588162064552307,0.81944583675277,0.7392841577259904,0.8997337132585246,23,0.7097520348902975,1,1.0,316
MOT20-01,162,26,5,10,6072,73958363bb1592aa7e3d359079c94423a5a5dff27f0c19742ab9602de9f7cc7e,same_target,migrate_replace,candidate,2462,57903,10,0.660956621170044,0.7517765600201854,0.7517765588894839,0.689766009879211,7,0.999999990349444,1,0.7007874015748031,288
MOT20-01,174,60,58,54,6633,65ab38a4a63a38ad4de29b2630225cc7ef8e3f2ad3226bad7e43e2c5d042e174,other_target,dual_retention_add,candidate,2642,62990,54,0.8701962828636169,0.5563087138439784,0.5629771797719547,0.9329663378157471,57,0.9532361331532494,11,0.9065040650406504,255
MOT20-01,176,60,58,54,6723,27133e8d28e9d9eb6bb8f82c9afc534ee93bc231f47c02ff7e997e8417c7bb88,other_target,dual_retention_add,candidate,2677,63902,54,0.5858542919158936,0.5462801231435886,0.5648406542858309,0.8947196726158,57,0.9434715442772049,11,0.9065040650406504,255
MOT20-01,177,60,58,54,6767,67b6b8bbb4f1a457b5a6e61bd3e34292b6f3c29592ad9eec026177476e9dd8ab,other_target,dual_retention_add,candidate,2698,64451,54,0.8958578109741211,0.5758662164142212,0.569381613246732,0.8871323482212775,57,0.9690331270643737,11,0.9065040650406504,255
MOT20-01,178,60,58,54,6811,8dd42c13922576845c1e737854f2f7bf9c6ad73a713c2a57f30b5b9d9e8738c5,other_target,dual_retention_add,candidate,2709,64806,54,0.72156822681427,0.5740943102421374,0.5887456162594654,0.914732502483922,57,0.9532784210815705,11,0.9065040650406504,255
MOT20-01,180,60,58,54,6901,9afcdac3044a783a248f95aab04f706d8b58fce569c3b970030a1b241d705bc6,other_target,dual_retention_add,candidate,2743,65694,54,0.8858497738838196,0.6145167209025093,0.6208067402813129,0.9023810428767385,57,0.9561638907975509,11,0.9065040650406504,255
MOT20-01,181,60,58,54,6946,8bad159256e3e21690b0efe62017038bfea18815def032b313f042c44e720857,other_target,dual_retention_add,candidate,2759,66152,54,0.8243499994277954,0.6130404016028843,0.6130403987575155,0.9173400867097125,57,0.9999999923980599,11,0.9065040650406504,255
MOT20-01,183,60,58,60,7044,d6f4fece4dcc03145802acdf9b971bbc4e6b8dee749795e0388fa7f7378d379d,same_target,migrate_replace,candidate,2787,67004,60,0.7885832786560059,0.6455083954395655,0.6455083921695524,0.45625630341722867,74,0.9999999870885594,11,0.9065040650406504,255
MOT20-01,192,32,38,48,7449,04720c60020feb0395284a6ca6438e2b8235826057de36653f0fbc792b62c3e3,other_target,dual_retention_add,candidate,2943,71467,48,0.17534701526165009,0.751661129000241,0.4145241822206498,0.7505256189604161,43,0.5400740209230758,2,1.0,178
MOT20-01,212,32,38,59,8444,5804c14b79ad5d9f29e93fd83ea2087d6e0ce56780e39b4b83aa562b0e843b97,other_target,dual_retention_add,candidate,3254,80519,59,0.30780553817749023,0.9288078927770559,0.5898028543794408,0.9191110485114533,47,0.5786753947250245,9,1.0,19
MOT20-01,223,32,38,72,8993,c5cfd7d68a6c4430fc8772cbd40ab5f9e9c50b61156ef9f822512293c73fc666,other_target,dual_retention_add,candidate,3424,85550,72,0.1745861917734146,0.880020617642671,0.4401306494960868,0.8973953705637633,44,0.5001367475628851,3,0.95,28
MOT20-01,261,64,83,77,10873,516a23a05899812a2df481afe1537bfddfb27db846c5d7e68939d376aae7e17f,other_target,dual_retention_add,candidate,4013,103111,77,0.8099836111068726,0.8681779005429496,0.6787890321419983,0.8054348246135542,62,0.7468089720724886,5,1.0,38
MOT20-01,262,64,83,77,10921,df513c5797d2e266695ff4f1c13c98178cae0f032771a058aff62b2457903738,other_target,dual_retention_add,candidate,4030,103603,77,0.8346198201179504,0.6646416710922571,0.664641664066437,0.8168243869345151,62,0.9999999833691665,5,1.0,38
MOT20-01,263,64,83,77,10969,45fede10b75cdaab30e122c02a87793e2ba57fae10b57c819da08439fa396a08,other_target,dual_retention_add,candidate,4045,104069,77,0.8169063329696655,0.676598794704551,0.6765988033821465,0.8556637962590545,62,0.9999999739886921,5,1.0,38
MOT20-01,264,64,83,77,11017,6e4f579c3b9837fca52c36b04cb8a69e29004945c23518dfebf544215653e00c,other_target,dual_retention_add,candidate,4061,104515,77,0.8059608340263367,0.8106428309585427,0.6574297527747259,0.7626596116165305,62,0.8098406215720911,5,1.0,38
MOT20-01,265,64,83,77,11065,6ddffea132c17fb6f88f48e1c7317b90926c8da91a35493a8aa316d9ff049623,other_target,dual_retention_add,candidate,4075,104999,77,0.8238797187805176,0.5591222636035408,0.5591222757904493,0.8275133566455763,62,0.9999999779652607,5,1.0,38
MOT20-01,274,77,24,26,11484,b55b9b9ea38e60e30635678b1a7fa3644863671713ff63e66a771dbe14996f44,other_target,dual_retention_add,candidate,4224,109455,26,0.48222842812538147,0.638855102115155,0.718988303784897,0.8895626404494392,78,0.8091814766528759,11,1.0,130
MOT20-01,275,77,24,26,11533,cbfad1859906f856ba47f9c63de5bbf40fa6565c02243efdfb4ef54219170474,other_target,dual_retention_add,candidate,4242,109960,26,0.34416499733924866,0.6288476892296159,0.7246145074452202,0.8647693820224712,78,0.7653342619169613,11,1.0,130
MOT20-01,276,77,24,26,11582,f710d6e7ba2f8e5ec0e06f625806db1f38b0975533978f0fc0db1991bdbccf75,other_target,dual_retention_add,candidate,4261,110448,26,0.42724743485450745,0.7384075881875929,0.7169852208742384,0.8669673725151256,78,0.8944776616721771,11,1.0,130
MOT20-01,277,77,24,26,11632,02a666dd2e1519a8e925acc685ac5d398109f0a647f1f22bb9bb92327320adba,other_target,dual_retention_add,candidate,4266,110786,26,0.7733234763145447,0.707368642267635,0.6927806936791671,0.8638518321810547,78,0.9561061899071278,11,1.0,130
MOT20-01,278,77,24,26,11682,686f00cdff12f25042dcd744c3a4fe7e7c50fd9d521536c257df01059d817909,other_target,dual_retention_add,candidate,4289,111404,26,0.410640150308609,0.6267773101603353,0.6888036152155309,0.8920104166886578,78,0.7725674404862002,11,1.0,130
MOT20-01,279,77,24,26,11732,571888432e33fb433b0c7858b1f499e6091d951c25eb8c8fd1e866014156b817,other_target,dual_retention_add,candidate,4303,111889,26,0.7272714972496033,0.6639478545978598,0.700315877686278,0.9113398444252376,78,0.816072551089081,11,1.0,130
MOT20-01,280,77,24,26,11782,2ff1e0336ed286db863bf52074e4edeaafa8c8be05560273a1aa02bf9efc295c,other_target,dual_retention_add,candidate,4314,112236,26,0.6873224973678589,0.8123164975765563,0.7203872763057555,0.887835133967158,78,0.8743177388886169,11,1.0,130
MOT20-01,281,77,24,26,11832,de87401077bdb47276d9e0389ead45977dd04d6ab94cacbf01ce6987913e195c,other_target,dual_retention_add,candidate,4330,112723,26,0.6705028414726257,0.807703965546735,0.7360222413985852,0.8689752808988767,78,0.8357295173314864,11,1.0,130
MOT20-01,282,77,24,26,11881,f516cd32f8f2ade57e9b93cf430decadf58cdb946d9e39b8bdc52028f50c9e2c,other_target,dual_retention_add,candidate,4346,113218,26,0.6296871304512024,0.8182570935898713,0.7455440143998812,0.8578770959377692,78,0.8310136392667844,11,1.0,130
MOT20-01,283,77,24,26,11930,7eb648d9ceac5bcb734306971813728365e6fb4a287804dfe87b98c923c1d694,other_target,dual_retention_add,candidate,4362,113696,26,0.7003785967826843,0.7599320893518589,0.7052281109166565,0.8724197330432031,78,0.8190712574709715,11,1.0,130
MOT20-01,284,77,24,26,11979,4e24e1797cb198fdf1dc2caba97253139d5e03c4d2473a60e6b19e48715a0587,other_target,dual_retention_add,candidate,4378,114188,26,0.7328436970710754,0.7470109190793037,0.6881071717621267,0.8761605383044616,78,0.8092351468494692,11,1.0,130
MOT20-01,287,64,83,74,12155,06b0c0bd55bc77d412d77f2aad28e7e0ec57c759fbdf870a7cdee1358cb79745,other_target,dual_retention_add,candidate,4428,115673,74,0.8340274095535278,0.9160665874194774,0.758083276136303,0.7912060432095681,61,0.7783582503420724,1,1.0,24
MOT20-01,289,77,24,26,12226,c64db3ce8435da591db0543c98ec02610c42f71e954783c386234fbaf86d2afd,other_target,dual_retention_add,candidate,4458,116612,26,0.7163743376731873,0.7520042279167038,0.6707569242622521,0.927957427207861,78,0.8298088553830455,17,1.0,53
MOT20-01,289,47,59,55,12242,55677d31546b7667d630a33d1e47bcc28210f79a6623e067db6c98473ed8cfa2,other_target,dual_retention_add,candidate,4471,116945,55,0.5187787413597107,0.701120986688639,0.6203442860746035,0.8763220026961104,46,0.8800849922258053,24,1.0,197
MOT20-01,290,77,24,26,12273,49c7402e7a66b7e4ea280001abdae7126b78ed178e31ab205fe60a449a79707d,other_target,dual_retention_add,candidate,4475,117079,26,0.583169162273407,0.7804084764645003,0.7106558923752797,0.9035997003398983,78,0.7261810276956387,17,1.0,53
MOT20-01,290,47,59,55,12289,e397f73c04fe0da612ceaac5b932ad97c4120db7fa99973b46c8522c5b911621,other_target,dual_retention_add,candidate,4486,117421,55,0.4186316728591919,0.8040262157952104,0.6234925925586277,0.9122902897844748,46,0.7599104165870877,24,1.0,197
MOT20-01,291,77,24,26,12320,6da892aea2e18887459219b5e96a92afe1f22219fe491127d84589517121ca84,other_target,dual_retention_add,candidate,4491,117562,26,0.7263106107711792,0.7490829678730044,0.7490829616548993,0.8547266159880256,78,0.9999999812295803,17,1.0,53
MOT20-01,291,64,83,74,12345,ed890823d7cc0cde9a0087a613aee10b22bb14b3ee342372d46f676ec57a3e86,other_target,dual_retention_add,candidate,4499,117702,74,0.7947803735733032,0.7957594657694999,0.6488573621561406,0.8998113872794983,61,0.7847580907080665,1,1.0,141
MOT20-01,292,77,24,26,12366,bbe55eb6e111bd77653726a4a8cbc7e774e9c9810e44e4c618625fd04411e6bd,other_target,dual_retention_add,candidate,4507,118022,26,0.7005534172058105,0.7504572645374313,0.7504572671640112,0.875294633565609,78,0.9999999873464538,17,1.0,53
MOT20-01,293,77,24,26,12412,0fcf18edb3bb943c8a580f898ad93ad37736e257b8dd4dcfc5ffafa863b8879f,other_target,dual_retention_add,candidate,4523,118488,26,0.28008779883384705,0.6886645905451464,0.6831452103316028,0.8654787791495226,78,0.5113037056577157,17,1.0,53
MOT20-01,293,61,74,83,12444,199b4e79126861578906b35ebd7d815b63d03ba335883b4a222e51841dd4f803,other_target,dual_retention_add,candidate,4530,118618,83,0.708183765411377,0.5462748392215059,0.5462748349353836,0.9200627071258518,64,0.9999999784904846,1,1.0,90
MOT20-01,294,77,24,26,12456,3e901f23bd0998a7ae7c45876cbf5431f3027138197f36c5b0ea02a35f9f5677,other_target,dual_retention_add,candidate,4538,118931,26,0.7028985023498535,0.7396848361100967,0.6942636466198054,0.9156432786020615,78,0.8187582413098777,17,1.0,53
MOT20-01,295,77,24,26,12501,e19dfbb91efe38eda83042484344da682f94042db8304cca903074e74d6663fa,other_target,dual_retention_add,candidate,4554,119388,26,0.7752590179443359,0.6812614155563439,0.6725293656766628,0.902922026938421,78,0.9002759621398084,17,1.0,53
MOT20-01,296,77,24,26,12546,11de5f3d0209a972739b51b4c8ddafdb2f789e43d727c157082bc6fbae7f2803,other_target,dual_retention_add,candidate,4570,119837,26,0.7208258509635925,0.6934283738990906,0.663612028426554,0.9465668144629671,78,0.8868925808744702,17,1.0,53
MOT20-01,297,77,24,26,12591,3dd2f6667b7e19bbc1501521a52e54e17142c30990e77d2445108f13e4c85559,other_target,dual_retention_add,candidate,4586,120304,26,0.7808117866516113,0.6573952332119901,0.6664819570804633,0.9482389485860966,78,0.9110442987812057,17,1.0,53
MOT20-01,298,77,24,26,12635,c1870216895981212784a7fc0eeb6f1b163a84e6bef06de667eab0b4b4338e90,other_target,dual_retention_add,candidate,4602,120764,26,0.7904702425003052,0.6603224691952598,0.6598385034694745,0.9531782084950583,78,0.9104884023681801,17,1.0,53
MOT20-01,299,77,24,26,12681,c25a190e953f8b91a68b83d553d932188b32530554fa2ef78c211de1c39514c2,other_target,dual_retention_add,candidate,4618,121217,26,0.763511061668396,0.6412353154465236,0.6326440350335283,0.9517832085364794,78,0.9514149561000763,17,1.0,53
MOT20-01,300,77,24,26,12726,44301432d84d181e4c3de0b8224d88085f9aad09398d3fdaf3c4fab20091aeb1,other_target,dual_retention_add,candidate,4634,121687,26,0.41626882553100586,0.6003651989266833,0.6132357102214897,0.8873600209709661,78,0.9145021817005275,17,1.0,53
MOT20-01,300,47,59,55,12741,dacf826c728357742f4c94a0adae264bdd81ac823b6208aecf39b6b118c577dd,other_target,dual_retention_add,candidate,4648,121980,55,0.47928109765052795,0.8877350569825536,0.5311406486863736,0.9078097658171705,46,0.5573391365761107,24,1.0,197
MOT20-01,301,77,24,26,12771,26717e5a79e50ef50d7a6f1210666f11066aab8c4fde662b1e8e0c320455051a,other_target,dual_retention_add,candidate,4650,122152,26,0.7820727229118347,0.5447879685302687,0.5666799891564903,0.8943168789781472,78,0.92873631133534,17,1.0,53
MOT20-01,309,47,59,87,13170,1e4ed42c6c39ab75611fe88abdd39e3828d878eef0c4464712c4c5cdf3ec9fc2,other_target,dual_retention_add,candidate,4793,126246,87,0.25666192173957825,0.7999856772552479,0.6518982979039118,0.8711222651511004,45,0.6099000280871463,24,1.0,197
MOT20-01,310,47,59,87,13218,3df88311f09954a7cecc7770fe2cd97dd3481bb03064beb84c689251af0af059,other_target,dual_retention_add,candidate,4807,126712,87,0.23131880164146423,0.7237670712501995,0.6134910478129286,0.8576771410102187,45,0.7496663275740881,24,1.0,197
