variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
dense_replacement_context,MOT20-01,77.31153400000001,80.779403,74.122256,88.39288020873698,92.15400100654253,50,239,1270,18839
dense_replacement_context,MOT20-02,68.966925,79.15617999999999,60.18844,75.2255567730311,90.89322872911039,423,2221,11448,145515
dense_replacement_context,MOT20-03,80.33805000000001,81.22536500000001,79.491913,94.1903885175653,94.36583795088919,180,3594,13898,303354
dense_replacement_context,MOT20-05,78.871155,81.82136,76.07005,90.33673887413885,94.0757553253376,567,12064,25660,632748
dense_replacement_context,COMBINED,78.00133,81.267375,74.91532,89.33688877753269,93.68824992464397,1220,18118,52276,1100456
safe_gap_context,MOT20-01,77.36209600000001,80.83155,74.1715,88.43899289864429,92.23452440865627,50,239,1254,18855
safe_gap_context,MOT20-02,68.97724,79.1689,60.196715999999995,75.23502202863223,90.9119696010133,424,2223,11416,145549
safe_gap_context,MOT20-03,80.38724,81.293494,79.52280999999999,94.2291680840242,94.47104808421912,182,3595,13565,303688
safe_gap_context,MOT20-05,78.90214,81.86267000000001,76.0916,90.35955974700224,94.1398079041501,572,12077,25228,633193
safe_gap_context,COMBINED,78.03542999999999,81.31231,74.93957999999999,89.36342831228066,93.75778899255606,1228,18134,51463,1101285
all_additions_reference,MOT20-01,77.58131,81.056684,74.38589300000001,88.61861939240899,92.6623049823855,47,240,1171,18939
all_additions_reference,MOT20-02,69.171137,79.471433,60.306984,75.37059667392806,91.46127101885719,385,2240,10588,146394
all_additions_reference,MOT20-03,80.44908600000001,81.365985,79.57451,94.29045917178152,94.60750243896217,174,3616,13124,304150
all_additions_reference,MOT20-05,79.00639000000001,81.98136000000001,76.18267,90.4498223440593,94.36739569022069,498,12174,23734,634784
all_additions_reference,COMBINED,78.13954,81.44535400000001,75.01741,89.44968490955974,94.0075655685546,1104,18270,48617,1104267
distinct_person_dual_retention_oracle,MOT20-01,77.51719,81.00211,74.31305,88.56119002810074,92.55158530447912,51,239,1190,18919
distinct_person_dual_retention_oracle,MOT20-02,69.14222,79.43664,60.28293,75.3499157810107,91.39470861175376,413,2210,10693,146259
distinct_person_dual_retention_oracle,MOT20-03,80.392647,81.28863,79.53829,94.24648037888163,94.48794546926908,179,3595,13515,303738
distinct_person_dual_retention_oracle,MOT20-05,78.9675,81.93766,76.148105,90.42202923903537,94.29204881611031,555,12065,24273,634136
distinct_person_dual_retention_oracle,COMBINED,78.09647,81.393456,74.98234000000001,89.41754488828985,93.92057563188891,1198,18109,49671,1103052
mechanism_decomposed_oracle,MOT20-01,77.52955,81.00604,74.33291,88.57665833097012,92.59184700553598,47,237,1188,18919
mechanism_decomposed_oracle,MOT20-02,69.15352,79.44442000000001,60.296344999999995,75.35788917644793,91.42055809024053,401,2196,10679,146259
mechanism_decomposed_oracle,MOT20-03,80.39574,81.29573,79.53746000000001,94.24712826127801,94.47965618603702,189,3603,13523,303738
mechanism_decomposed_oracle,MOT20-05,78.97428,81.942415,76.156723,90.42570721471073,94.29730917282437,530,12061,24268,634137
mechanism_decomposed_oracle,COMBINED,78.102845,81.39924400000001,74.98917,89.42116945908396,93.92551123113235,1167,18097,49658,1103053
safe_gap_plus_mechanism_oracle,MOT20-01,77.582645,81.0582,74.386936,88.62260018038913,92.67237040764972,47,237,1172,18935
safe_gap_plus_mechanism_oracle,MOT20-02,69.16393,79.456925,60.304970000000004,75.36665171823874,91.44123767302995,401,2197,10646,146293
safe_gap_plus_mechanism_oracle,MOT20-03,80.444956,81.36379000000001,79.56841999999999,94.28585304259143,94.58359104502357,193,3605,13191,304072
safe_gap_plus_mechanism_oracle,MOT20-05,79.00540000000001,81.98369,76.17857000000001,90.4484724332241,94.36368249724605,522,12073,23835,634582
safe_gap_plus_mechanism_oracle,COMBINED,78.13707,81.44412,75.013727,89.44755764584794,93.99628419885529,1163,18112,48844,1103882
