variant,sequence,HOTA,DetA,AssA,IDF1,MOTA,IDSW,CLR_FP,CLR_FN,Dets
baseline_raw,MOT20-01,77.029973,80.422163,73.92996,88.33255825970134,92.06844489179667,50,246,1280,18836
baseline_raw,MOT20-02,68.74833,78.84434999999999,60.05281,75.20490779565505,90.75041036047098,428,2329,11556,145515
baseline_raw,MOT20-03,80.05449,80.91087300000001,79.24064,94.16899509247794,94.3059000567497,178,3689,13993,303354
baseline_raw,MOT20-05,78.53901,81.42686,75.80161,90.304089315242,93.99808770561806,566,12302,25925,632721
baseline_raw,COMBINED,77.69901999999999,80.90724,74.672127,89.30846875223709,93.60645999432407,1222,18566,52754,1100426
baseline_id_oracle,MOT20-01,82.177556,80.92458,83.54983299999999,96.2176406758642,92.63210870659286,0,215,1249,18836
baseline_id_oracle,MOT20-02,81.68356,80.292237,83.138806,95.61808717198933,91.49746028873868,0,1965,11192,145515
baseline_id_oracle,MOT20-03,82.177943,81.18338,83.20794000000001,97.15402617777288,94.4015456325042,0,3628,13932,303354
baseline_id_oracle,MOT20-05,82.95374,81.662774,84.29197,97.0671545230305,94.19612466426547,0,11945,25568,632721
baseline_id_oracle,COMBINED,82.57078,81.32351,83.871526,96.88175603121198,93.85747047013345,0,17753,51941,1100426
postnms_replace_add_oracle,MOT20-01,83.936316,82.64489,85.34804,97.67169349908295,95.40010065425264,0,215,699,19386
postnms_replace_add_oracle,MOT20-02,82.984376,81.67951,84.35261,96.88700847502237,93.88142844218117,6,1965,7497,149210
postnms_replace_add_oracle,MOT20-03,83.58092,82.671136,84.52506699999999,98.43321601259957,96.87908486313118,0,3628,6161,311125
postnms_replace_add_oracle,MOT20-05,83.850044,82.58833,85.15859999999999,97.85409323627007,95.72069981310261,0,11945,15714,642575
postnms_replace_add_oracle,COMBINED,83.67567,82.4802,84.924036,97.88099658382478,95.7844694318949,6,17753,30071,1122296
prenms_budget_additive_oracle,MOT20-01,84.515,83.2767,85.87588000000001,98.27289303079417,96.53749370910921,4,216,468,19618
prenms_budget_additive_oracle,MOT20-02,84.27354700000001,82.99828000000001,85.614526,98.07674796747968,96.16522986648745,14,1968,3952,152758
prenms_budget_additive_oracle,MOT20-03,83.85906,82.95051,84.80225999999999,98.7262823755847,97.45550886634487,0,3628,4353,312933
prenms_budget_additive_oracle,MOT20-05,84.19751,82.92568,85.51719,98.25816552527824,96.50851558922184,7,11955,10605,647694
prenms_budget_additive_oracle,COMBINED,84.13482,82.94135299999999,85.38201,98.36317155851275,96.72399600216461,25,17767,19378,1133003
prenms_budget_replace_add_oracle,MOT20-01,84.89782,83.727986,86.17115,98.30894638246164,96.63814796175139,0,215,453,19632
prenms_budget_replace_add_oracle,MOT20-02,84.667206,83.43044499999999,85.96388999999999,98.16119965557017,96.33906760931097,4,1966,3695,153013
prenms_budget_replace_add_oracle,MOT20-03,84.19784,83.304405,85.123986,98.74454287829661,97.49153536654572,0,3628,4240,313046
prenms_budget_replace_add_oracle,MOT20-05,84.60988400000001,83.367807,85.89518699999999,98.28599064271101,96.56653422945057,4,11946,10242,648048
prenms_budget_replace_add_oracle,COMBINED,84.52311,83.357495,85.7376,98.39614910025027,96.79247744166739,8,17755,18630,1133739
prenms_budget_selected_ceiling,MOT20-01,85.312814,84.490234,86.23073,98.84694682719474,97.72018117765475,0,0,453,19417
prenms_budget_selected_ceiling,MOT20-02,85.16592,84.37550999999999,86.005855,98.79198142516105,97.60892323997363,4,1,3695,151048
prenms_budget_selected_ceiling,MOT20-03,84.640986,84.129953,85.178363,99.31950516469901,98.6482091960033,0,0,4240,309418
prenms_budget_selected_ceiling,MOT20-05,85.33090399999999,84.726244,85.965055,99.20144848091188,98.41462131620314,4,1,10242,636103
prenms_budget_selected_ceiling,COMBINED,85.131556,84.501606,85.7992,99.1723096063272,98.35715053753964,8,2,18630,1115986
prenms_full_selected_ceiling,MOT20-01,86.674106,85.95192,87.47427,99.57545739411705,99.15450427780573,0,0,168,19702
prenms_full_selected_ceiling,MOT20-02,86.36032,85.63429000000001,87.12946000000001,99.39242234611446,98.78507451112173,7,2,1871,152873
prenms_full_selected_ceiling,MOT20-03,85.289866,84.80817,85.795885,99.51046038509595,99.02569040164767,0,0,3056,310602
prenms_full_selected_ceiling,MOT20-05,86.06454,85.49786999999999,86.65904,99.48845704368759,98.98212097582712,0,0,6579,639765
prenms_full_selected_ceiling,COMBINED,85.91512399999999,85.32627000000001,86.538637,99.48298071011305,98.97031060783668,7,2,11674,1122942
