sequence,variant,score_bin,suppressor_iou_bin,selected_events
MOT20-01,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p70_0p75,2
MOT20-01,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p75_0p80,2
MOT20-01,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p80_0p90,2
MOT20-01,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p70_0p75,21
MOT20-01,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p75_0p80,18
MOT20-01,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p80_0p90,41
MOT20-01,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p90_0p95,5
MOT20-01,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p70_0p75,6
MOT20-01,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p75_0p80,6
MOT20-01,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p80_0p90,22
MOT20-01,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p90_0p95,27
MOT20-01,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p95_0p99,15
MOT20-01,prenms_budget_additive_oracle,score_ge_0p60,iou_0p70_0p75,16
MOT20-01,prenms_budget_additive_oracle,score_ge_0p60,iou_0p75_0p80,13
MOT20-01,prenms_budget_additive_oracle,score_ge_0p60,iou_0p80_0p90,28
MOT20-01,prenms_budget_additive_oracle,score_ge_0p60,iou_0p90_0p95,36
MOT20-01,prenms_budget_additive_oracle,score_ge_0p60,iou_0p95_0p99,130
MOT20-01,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p70_0p75,2
MOT20-01,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p75_0p80,2
MOT20-01,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p80_0p90,2
MOT20-01,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p70_0p75,32
MOT20-01,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p75_0p80,34
MOT20-01,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p80_0p90,62
MOT20-01,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,16
MOT20-01,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,25
MOT20-01,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,19
MOT20-01,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p80_0p90,104
MOT20-01,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p90_0p95,134
MOT20-01,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p95_0p99,72
MOT20-01,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p70_0p75,41
MOT20-01,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p75_0p80,31
MOT20-01,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p80_0p90,93
MOT20-01,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p90_0p95,377
MOT20-01,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p95_0p99,1441
MOT20-02,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p70_0p75,12
MOT20-02,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p75_0p80,5
MOT20-02,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p80_0p90,17
MOT20-02,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p90_0p95,7
MOT20-02,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p95_0p99,1
MOT20-02,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p70_0p75,170
MOT20-02,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p75_0p80,155
MOT20-02,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p80_0p90,225
MOT20-02,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p90_0p95,102
MOT20-02,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p95_0p99,13
MOT20-02,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p70_0p75,129
MOT20-02,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p75_0p80,104
MOT20-02,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p80_0p90,265
MOT20-02,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p90_0p95,274
MOT20-02,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p95_0p99,126
MOT20-02,prenms_budget_additive_oracle,score_ge_0p60,iou_0p70_0p75,261
MOT20-02,prenms_budget_additive_oracle,score_ge_0p60,iou_0p75_0p80,124
MOT20-02,prenms_budget_additive_oracle,score_ge_0p60,iou_0p80_0p90,312
MOT20-02,prenms_budget_additive_oracle,score_ge_0p60,iou_0p90_0p95,1015
MOT20-02,prenms_budget_additive_oracle,score_ge_0p60,iou_0p95_0p99,1495
MOT20-02,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p70_0p75,13
MOT20-02,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p75_0p80,6
MOT20-02,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p80_0p90,20
MOT20-02,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p90_0p95,9
MOT20-02,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p95_0p99,1
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p70_0p75,225
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p75_0p80,201
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p80_0p90,377
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,250
MOT20-02,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p95_0p99,81
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,204
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,178
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p80_0p90,755
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p90_0p95,1082
MOT20-02,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p95_0p99,905
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p70_0p75,473
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p75_0p80,201
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p80_0p90,836
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p90_0p95,5089
MOT20-02,prenms_budget_replace_add_oracle,score_ge_0p60,iou_0p95_0p99,12799
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p70_0p75,27
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p75_0p80,25
MOT20-03,prenms_budget_additive_oracle,score_0p09_0p10,iou_0p80_0p90,33
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p70_0p75,218
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p75_0p80,258
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p80_0p90,464
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p90_0p95,88
MOT20-03,prenms_budget_additive_oracle,score_0p10_0p30,iou_0p95_0p99,3
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p70_0p75,88
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p75_0p80,120
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p80_0p90,464
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p90_0p95,495
MOT20-03,prenms_budget_additive_oracle,score_0p30_0p60,iou_0p95_0p99,122
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p70_0p75,54
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p75_0p80,43
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p80_0p90,134
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p90_0p95,536
MOT20-03,prenms_budget_additive_oracle,score_ge_0p60,iou_0p95_0p99,1099
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p70_0p75,30
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p75_0p80,31
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p80_0p90,37
MOT20-03,prenms_budget_replace_add_oracle,score_0p09_0p10,iou_0p90_0p95,1
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p70_0p75,298
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p75_0p80,353
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p80_0p90,740
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p90_0p95,291
MOT20-03,prenms_budget_replace_add_oracle,score_0p10_0p30,iou_0p95_0p99,50
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p70_0p75,185
MOT20-03,prenms_budget_replace_add_oracle,score_0p30_0p60,iou_0p75_0p80,257
