sequence,frame,pre_candidates,postnms_kept,suppressed,orphan_suppressed,reference_kept,reference_count_equal,reference_order_equal,reference_min_matched_iou,reference_max_box_abs_diff,reference_max_score_abs_diff,reference_class_mismatch,reference_set_ok
MOT20-05,1,2101,242,1859,0,242,True,True,0.9999966244953621,0.0001220703125,0.0,0,True
MOT20-05,2,2133,246,1887,0,246,True,True,0.9999960025364439,0.0001220703125,0.0,0,True
MOT20-05,3,2104,243,1861,0,243,True,True,0.99999581975625,0.0001220703125,0.0,0,True
MOT20-05,4,2096,245,1851,0,245,True,True,0.9999973935255174,0.0001220703125,0.0,0,True
MOT20-05,5,2072,239,1833,0,239,True,True,0.9999975292490673,0.0001220703125,0.0,0,True
MOT20-05,6,2013,234,1779,0,234,True,True,0.9999968459996236,0.0001220703125,0.0,0,True
MOT20-05,7,2017,230,1787,0,230,True,True,0.999997589873613,0.0001220703125,0.0,0,True
MOT20-05,8,2019,235,1784,0,235,True,True,0.9999975754284218,0.0001220703125,0.0,0,True
MOT20-05,9,2027,232,1795,0,232,True,True,0.9999959097778804,0.0001220703125,0.0,0,True
MOT20-05,10,2028,232,1796,0,232,True,True,0.9999958268301437,0.0001220703125,0.0,0,True
MOT20-05,11,2060,237,1823,0,237,True,True,0.9999974407141431,0.0001220703125,0.0,0,True
MOT20-05,12,2071,237,1834,0,237,True,True,0.9999958823674739,0.0001220703125,0.0,0,True
MOT20-05,13,2060,235,1825,0,235,True,True,0.999996001759226,0.0001220703125,0.0,0,True
MOT20-05,14,2080,237,1843,0,237,True,True,0.9999974890648775,0.0001220703125,0.0,0,True
MOT20-05,15,2085,239,1846,0,239,True,True,0.9999969908010008,0.0001220703125,0.0,0,True
MOT20-05,16,2077,240,1837,0,240,True,True,0.9999977755434347,0.0001220703125,0.0,0,True
MOT20-05,17,2082,242,1840,0,242,True,True,0.9999968688649322,0.0001220703125,0.0,0,True
MOT20-05,18,2086,241,1845,0,241,True,True,0.9999967277433373,0.0001220703125,0.0,0,True
MOT20-05,19,2055,233,1822,0,233,True,True,0.9999966829753711,0.0001220703125,0.0,0,True
MOT20-05,20,2059,235,1824,0,235,True,True,0.9999960620929188,0.0001220703125,0.0,0,True
MOT20-05,21,2084,240,1844,0,240,True,True,0.9999974974896404,0.0001220703125,0.0,0,True
MOT20-05,22,2072,238,1834,0,238,True,True,0.999996954775369,0.0001220703125,0.0,0,True
MOT20-05,23,2065,240,1825,0,240,True,True,0.9999970514086896,0.0001220703125,0.0,0,True
MOT20-05,24,2064,237,1827,0,237,True,True,0.9999970921864141,0.0001220703125,0.0,0,True
MOT20-05,25,2063,240,1823,0,240,True,True,0.9999972176684983,0.0001220703125,0.0,0,True
MOT20-05,26,2068,239,1829,0,239,True,True,0.9999976489894181,0.0001220703125,0.0,0,True
MOT20-05,27,2030,231,1799,0,231,True,True,0.9999976619125556,0.0001220703125,0.0,0,True
MOT20-05,28,2003,231,1772,0,231,True,True,0.9999959536285836,0.0001220703125,0.0,0,True
MOT20-05,29,2020,228,1792,0,228,True,True,0.999996277366013,0.0001220703125,0.0,0,True
MOT20-05,30,1985,224,1761,0,224,True,True,0.9999952384013409,0.0001220703125,0.0,0,True
MOT20-05,31,1991,228,1763,0,228,True,True,0.9999975756870503,0.0001220703125,0.0,0,True
MOT20-05,32,1983,229,1754,0,229,True,True,0.9999956433650178,0.0001220703125,0.0,0,True
MOT20-05,33,1988,228,1760,0,228,True,True,0.9999967847726834,0.0001220703125,0.0,0,True
MOT20-05,34,1979,230,1749,0,230,True,True,0.9999973066439707,0.0001220703125,0.0,0,True
MOT20-05,35,1973,227,1746,0,227,True,True,0.9999975402839988,0.0001220703125,0.0,0,True
MOT20-05,36,1920,222,1698,0,222,True,True,0.9999960760308267,0.0001220703125,0.0,0,True
MOT20-05,37,1959,226,1733,0,226,True,True,0.9999928230523558,0.0001220703125,0.0,0,True
MOT20-05,38,1940,224,1716,0,224,True,True,0.9999972770888813,0.0001220703125,0.0,0,True
MOT20-05,39,1943,222,1721,0,222,True,True,0.999997772563332,0.0001220703125,0.0,0,True
MOT20-05,40,1987,227,1760,0,227,True,True,0.9999965516052277,0.0001220703125,0.0,0,True
MOT20-05,41,1981,228,1753,0,228,True,True,0.9999975965582715,0.0001220703125,0.0,0,True
