sequence,block,model,rows,positives,selected,positive_covered
MOT20-01,0,geometry,1636,30,88,True
MOT20-01,0,appearance,1636,30,81,True
MOT20-01,1,geometry,1666,140,274,True
MOT20-01,1,appearance,1666,140,189,True
MOT20-01,2,geometry,1700,116,310,True
MOT20-01,2,appearance,1700,116,310,True
MOT20-01,3,geometry,1710,104,0,False
MOT20-01,3,appearance,1710,104,92,True
MOT20-02,0,geometry,14311,919,1237,True
MOT20-02,0,appearance,14311,919,1017,True
MOT20-02,1,geometry,14340,1324,1603,True
MOT20-02,1,appearance,14340,1324,1576,True
MOT20-02,2,geometry,14616,1676,1175,True
MOT20-02,2,appearance,14616,1676,764,True
MOT20-02,3,geometry,14467,893,1759,True
MOT20-02,3,appearance,14467,893,2417,True
MOT20-03,0,geometry,30308,707,2099,True
MOT20-03,0,appearance,30308,707,1981,True
MOT20-03,1,geometry,30506,815,2418,True
MOT20-03,1,appearance,30506,815,2226,True
MOT20-03,2,geometry,30643,1229,3380,True
MOT20-03,2,appearance,30643,1229,3528,True
MOT20-03,3,geometry,30651,1520,4314,True
MOT20-03,3,appearance,30651,1520,4476,True
MOT20-05,0,geometry,68281,1846,6196,True
MOT20-05,0,appearance,68281,1846,6149,True
MOT20-05,1,geometry,68508,2213,7545,True
MOT20-05,1,appearance,68508,2213,7575,True
MOT20-05,2,geometry,68341,1913,7209,True
MOT20-05,2,appearance,68341,1913,7304,True
MOT20-05,3,geometry,68215,2270,6385,True
MOT20-05,3,appearance,68215,2270,6307,True
