outer_sequence,model,rows,positives,auc,ap
MOT20-01,geometry,6712,390,0.6483750273769255,0.09803769530198053
MOT20-01,appearance,6712,390,0.658754937986194,0.11014787957656474
MOT20-02,geometry,57734,4812,0.6055198163623732,0.12054882034140979
MOT20-02,appearance,57734,4812,0.6110622212152875,0.11771319807324482
MOT20-03,geometry,122108,4271,0.827730731870833,0.14411917085391163
MOT20-03,appearance,122108,4271,0.8225792692888154,0.1408051333879124
MOT20-05,geometry,273345,8242,0.7064800930716162,0.08873522138496209
MOT20-05,appearance,273345,8242,0.6728702171931153,0.08595832700012765
COMBINED,geometry,459899,17715,0.6913848449003333,0.10292200819283709
COMBINED,appearance,459899,17715,0.6776788488206991,0.09659600442803809
