sequence,frame,global_pre_idx,target_gt_id,candidate_track_id,suppressor_track_id,oracle_choice,appearance_margin,geometry_margin,appearance_correct,geometry_correct
MOT20-01,113,38691,29,29,17,suppressor,-0.0022992491722106934,-0.11489981412887573,True,True
MOT20-01,170,61371,7,10,20,candidate,0.044661104679107666,-0.0875246524810791,True,False
MOT20-01,173,62707,12,50,16,candidate,0.23595622181892395,-0.0024251937866210938,True,False
MOT20-01,178,65084,32,38,34,candidate,-0.0883941650390625,0.014604270458221436,False,True
MOT20-01,187,68789,77,64,24,candidate,0.2790578007698059,0.03663259744644165,True,True
MOT20-01,191,70682,60,58,54,candidate,-0.26811307668685913,-0.13674187660217285,False,False
MOT20-01,234,90788,26,81,5,candidate,0.2544559836387634,-0.14585107564926147,True,False
MOT20-01,237,92211,26,81,5,candidate,0.07325148582458496,-0.028550267219543457,True,False
MOT20-01,238,92663,26,81,5,candidate,0.1380961537361145,-0.031779468059539795,True,False
MOT20-01,273,108821,77,24,26,candidate,0.028289198875427246,-0.089297354221344,True,False
MOT20-01,280,112564,29,70,63,candidate,0.03924316167831421,-0.03666555881500244,True,False
MOT20-01,295,119525,61,74,83,candidate,0.20141148567199707,-0.23259186744689941,True,False
MOT20-01,324,133639,44,72,13,candidate,0.012623310089111328,-0.08136838674545288,True,False
MOT20-01,340,141389,60,76,58,suppressor,0.018288135528564453,-0.20754319429397583,False,True
MOT20-01,389,162975,47,59,48,candidate,0.10410201549530029,-0.03883475065231323,True,False
MOT20-01,391,163998,43,48,59,candidate,0.1343148946762085,-0.014351963996887207,True,False
MOT20-01,416,174621,76,112,90,candidate,0.06368917226791382,-0.015064477920532227,True,False
MOT20-01,418,175521,66,90,112,candidate,0.2717705965042114,-0.040551722049713135,True,False
MOT20-01,418,175807,50,98,28,candidate,0.2149028778076172,-0.12024545669555664,True,False
MOT20-01,419,175957,66,90,112,candidate,0.2139109969139099,-0.021187305450439453,True,False
MOT20-01,423,177653,76,112,90,candidate,0.1444530487060547,-0.019196510314941406,True,False
MOT20-02,8,2387,204,28,10,candidate,-0.10090404748916626,-0.14383924007415771,False,False
MOT20-02,10,3001,204,28,10,candidate,-0.09088313579559326,-0.03310847282409668,False,False
MOT20-02,11,3313,204,28,10,candidate,-0.1108630895614624,-0.0354541540145874,False,False
MOT20-02,20,6191,207,16,19,candidate,-0.026350855827331543,0.007759153842926025,False,True
MOT20-02,21,6475,207,16,19,candidate,-0.01294320821762085,-0.01166766881942749,False,False
MOT20-02,25,7901,219,34,18,candidate,0.07331132888793945,-0.10083836317062378,True,False
MOT20-02,102,37185,218,18,37,candidate,0.10756194591522217,-0.07809054851531982,True,False
MOT20-02,109,40099,211,12,10,candidate,-0.21944737434387207,-0.016877710819244385,False,False
MOT20-02,110,40509,211,12,10,candidate,-0.2826012969017029,-0.058530211448669434,False,False
MOT20-02,111,40899,221,18,37,suppressor,0.0003725886344909668,-0.2120533585548401,False,True
MOT20-02,152,57036,211,12,71,candidate,0.03522932529449463,-0.04029655456542969,True,False
MOT20-02,177,67094,206,24,12,candidate,-0.059153079986572266,-0.12837684154510498,False,False
MOT20-02,191,72537,220,44,30,candidate,-0.4137486219406128,-0.006632089614868164,False,False
MOT20-02,216,82232,225,25,30,candidate,-0.04650181531906128,-0.024774789810180664,False,False
MOT20-02,253,96463,226,30,75,candidate,-0.18848079442977905,0.015764176845550537,False,True
MOT20-02,452,168769,273,113,109,candidate,-0.18032658100128174,0.028253138065338135,False,True
MOT20-02,470,175116,55,115,123,candidate,-0.018613576889038086,-0.06821495294570923,False,False
MOT20-02,471,175467,55,115,123,candidate,-0.006704866886138916,-0.08480089902877808,False,False
MOT20-02,472,175830,55,115,123,candidate,-0.0018655061721801758,-0.06388962268829346,False,False
MOT20-02,473,176192,55,115,123,candidate,0.007267653942108154,-0.06346553564071655,True,False
MOT20-02,482,179427,177,60,66,suppressor,0.072662353515625,-0.013254880905151367,False,True
MOT20-02,518,191191,55,131,123,candidate,0.19902527332305908,-0.020382046699523926,True,False
MOT20-02,519,191428,55,131,123,candidate,0.2232416272163391,-0.0715494155883789,True,False
MOT20-02,520,191758,55,131,123,candidate,0.22633731365203857,-0.12298262119293213,True,False
MOT20-02,531,195496,272,135,99,candidate,-0.047335684299468994,-0.11245661973953247,False,False
MOT20-02,555,204301,183,123,142,candidate,0.012565314769744873,-0.15268725156784058,True,False
MOT20-02,556,204649,55,142,123,candidate,0.010142087936401367,-0.09425622224807739,True,False
MOT20-02,583,214543,295,99,113,candidate,-0.0015171170234680176,-0.12716329097747803,False,False
