sequence,model,selected,positives_selected,negatives_selected,positives_total,negatives_total,precision,recall,negative_reduction
MOT20-01,geometry,672,87,585,390,6322,0.12946428571428573,0.2230769230769231,0.9074659917747548
MOT20-01,appearance,672,102,570,390,6322,0.15178571428571427,0.26153846153846155,0.9098386586523253
MOT20-02,geometry,5774,836,4938,4812,52922,0.14478697609975755,0.17373233582709893,0.9066928687502362
MOT20-02,appearance,5774,702,5072,4812,52922,0.12157949428472463,0.14588528678304238,0.9041608404822191
MOT20-03,geometry,12211,2059,10152,4271,117837,0.16861845876668577,0.48208850386326385,0.9138470938669518
MOT20-03,appearance,12211,2149,10062,4271,117837,0.17598886250102366,0.503160852259424,0.9146108607652944
MOT20-05,geometry,27335,3339,23996,8242,265103,0.12215108834827144,0.40512011647658336,0.9094842382017555
MOT20-05,appearance,27335,3355,23980,8242,265103,0.1227364185110664,0.4070613928658093,0.9095445921019377
COMBINED,geometry,45992,6321,39671,17715,442184,0.1374369455557488,0.35681625740897543,0.9102839541910155
COMBINED,appearance,45992,6308,39684,17715,442184,0.13715428770220908,0.3560824160316116,0.9102545546650264
