stage,name,protocol,status,HOTA,DetA,AssA,IDSW,decision,report
parent,fused_a42_adaptive_risk,historical_gt_free_exploratory,completed,78.763497,81.551695,76.123375,901,reference,outputs/assocriskbench_p15_20260714/fused_a42_adaptive_risk_eval/l1_r2_q75_adaptive_priority
M23-8,global_match_t080,gt_free_exploratory,completed,78.784490,, ,875,mechanism_gain_not_formal,outputs/mot20_m23_20260718/global_match_t080
M23-8,a42_modal_gt_action_oracle,gt_oracle_nondeployable,completed,79.200060,,76.991300,796,old_action_graph_below_80,outputs/mot20_m23_20260718/link_action_ceiling_v1/report.json
M23-8,positive_remaining_edge_oracle,gt_oracle_nondeployable,completed,78.801240,,76.196030,883,selector_ceiling_small,outputs/mot20_m23_20260718/positive_edge_utility_ceiling_v1/report.json
M23-9,persistent_change_split_only,gt_oracle_nondeployable,completed,77.771210,,73.900740,2522,reject,outputs/mot20_m23_20260718/internal_split_only_ceiling_v1/report.json
M23-10,microtracklet_chunk30_wis,gt_oracle_nondeployable,completed,82.529650,81.819904,83.284014,1230,action_space_viable,outputs/mot20_m23_20260718/microtracklet_oracle_chunk30_v1/report.json
M23-10,cross95_preserve_source,gt_free_exploratory,completed,78.756830,,76.110370,878,reject_same_id_target,outputs/mot20_m23_20260718/micrograph_chunk30_role_policy_explore_v1/summary.json
M23-11,raw_expected_utility_path_cover,gt_free_exploratory,completed,78.335875,81.504476,75.343686,945,reject_local_utility,outputs/mot20_m23_20260718/micrograph_chunk30_utility_graph_explore_v1/raw_expected_utility/report.json
M23-11,preserve_source_endpoint_utility,gt_free_exploratory,completed,78.373140,81.524810,75.396520,856,reject_block_scope_label,outputs/mot20_m23_20260718/micrograph_chunk30_endpoint_utility_explore_v1/preserve_source_positive_utility/report.json
M23-12,disjoint_chain_transaction_oracle,gt_oracle_nondeployable_lower_bound,completed,80.980587,81.725526,80.289030,1218,action_space_viable,outputs/mot20_m23_20260718/micrograph_chain_transaction_oracle_v1/greedy_disjoint_positive_chain_transaction_oracle/report.json
M23-12,chain_transaction_loso_v1,gt_free_loso_diagnostic,completed,,,,,reject_heavy_tail_m03_m05,outputs/mot20_m23_20260718/micrograph_chain_transaction_loso_v1/report.json
M23-12,chain_expected_utility_loso_v1,gt_free_loso_diagnostic,completed,,,,,reject_heavy_tail_m03_m05,outputs/mot20_m23_20260718/micrograph_chain_expected_utility_loso_v1/report.json
M23-12,chain_expected_utility_loso_v2_segment_app,gt_free_loso_diagnostic,completed,,,,,reject_m05_domain_shift,outputs/mot20_m23_20260718/micrograph_chain_expected_utility_loso_v2_segment_app/report.json
