seq_id,seq_name,status,started_at,finished_at,result_file,reentry_summary_csv,notes
30,dancetrack0030,success,2026-05-31T22:50:20+08:00,2026-05-31T22:57:08+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0030.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0030_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/logs/dancetrack0030.log
34,dancetrack0034,success,2026-05-31T22:57:08+08:00,2026-05-31T23:02:34+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0034.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0034_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/logs/dancetrack0034.log
35,dancetrack0035,failed,2026-05-31T23:02:34+08:00,2026-05-31T23:05:39+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0035.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0035_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/logs/dancetrack0035.log rc=137
41,dancetrack0041,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0041.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0041_summary.csv,
43,dancetrack0043,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0043.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0043_summary.csv,
47,dancetrack0047,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0047.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0047_summary.csv,
58,dancetrack0058,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0058.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0058_summary.csv,
63,dancetrack0063,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0063.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0063_summary.csv,
65,dancetrack0065,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0065.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0065_summary.csv,
73,dancetrack0073,pending,,,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/track_results/dancetrack0073.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/reentry_engine_recent_rerank_fullval_matchdump_20260531/reentry_analysis/dancetrack0073_summary.csv,
