epoch,train_loss,val_rank1,val_map,val_num,val_valid_queries,lr,best_map,best_rank1,no_improve_epochs
1,10.067242,9.6500,6.0343,6000,6000,9.97260948e-05,6.0343,9.6500,0
2,9.410924,13.6167,8.2818,6000,6000,9.89073800e-05,8.2818,13.6167,0
3,8.978321,19.5167,11.4065,6000,6000,9.75528258e-05,11.4065,19.5167,0
4,8.559208,25.6833,14.7071,6000,6000,9.56772729e-05,14.7071,25.6833,0
5,8.123530,30.8667,17.7314,6000,6000,9.33012702e-05,17.7314,30.8667,0
6,7.645729,35.2667,20.0869,6000,6000,9.04508497e-05,20.0869,35.2667,0
7,7.120866,38.8000,22.4674,6000,6000,8.71572413e-05,22.4674,38.8000,0
8,6.564307,41.3833,23.9966,6000,6000,8.34565303e-05,23.9966,41.3833,0
9,6.018609,43.6500,25.2139,6000,6000,7.93892626e-05,25.2139,43.6500,0
10,5.508089,46.2500,26.9632,6000,6000,7.50000000e-05,26.9632,46.2500,0
11,5.056148,47.6667,27.8267,6000,6000,7.03368322e-05,27.8267,47.6667,0
12,4.680649,48.8167,28.5686,6000,6000,6.54508497e-05,28.5686,48.8167,0
13,4.358629,51.4333,29.9873,6000,6000,6.03955845e-05,29.9873,51.4333,0
14,4.098424,51.9333,30.4875,6000,6000,5.52264232e-05,30.4875,51.9333,0
15,3.883575,53.2500,31.1021,6000,6000,5.00000000e-05,31.1021,53.2500,0
16,3.698278,54.0667,31.7635,6000,6000,4.47735768e-05,31.7635,54.0667,0
17,3.553204,54.9833,32.2758,6000,6000,3.96044155e-05,32.2758,54.9833,0
18,3.425891,55.3667,32.6352,6000,6000,3.45491503e-05,32.6352,55.3667,0
19,3.311596,56.2500,33.0320,6000,6000,2.96631678e-05,33.0320,56.2500,0
20,3.240489,56.9667,33.4680,6000,6000,2.50000000e-05,33.4680,56.9667,0
21,3.161074,57.7167,33.7926,6000,6000,2.06107374e-05,33.7926,57.7167,0
22,3.089053,57.7167,33.9322,6000,6000,1.65434697e-05,33.9322,57.7167,0
23,3.039862,58.3667,34.2283,6000,6000,1.28427587e-05,34.2283,58.3667,0
24,2.988600,58.7500,34.3784,6000,6000,9.54915028e-06,34.3784,58.7500,0
25,2.963616,58.8167,34.4880,6000,6000,6.69872981e-06,34.4880,58.8167,0
26,2.924635,59.0000,34.6000,6000,6000,4.32272712e-06,34.6000,59.0000,0
27,2.904996,58.9000,34.5655,6000,6000,2.44717419e-06,34.6000,59.0000,1
28,2.893765,59.0833,34.6867,6000,6000,1.09261996e-06,34.6867,59.0833,0
29,2.884428,59.1333,34.7334,6000,6000,2.73905232e-07,34.6867,59.1333,1
30,2.887980,59.1833,34.7101,6000,6000,0.00000000e+00,34.6867,59.1833,2
