epoch,train_loss,val_rank1,val_map,val_num,val_valid_queries,lr,best_map,best_rank1,no_improve_epochs
1,9.735454,8.8400,5.5430,5000,5000,9.93844170e-05,5.5430,8.8400,0
2,9.082749,11.8200,7.3327,5000,5000,9.75528258e-05,7.3327,11.8200,0
3,8.660075,18.6000,10.5335,5000,5000,9.45503262e-05,10.5335,18.6000,0
4,8.216966,23.3600,13.1603,5000,5000,9.04508497e-05,13.1603,23.3600,0
5,7.743951,28.4600,16.0201,5000,5000,8.53553391e-05,16.0201,28.4600,0
6,7.242044,32.6000,18.3958,5000,5000,7.93892626e-05,18.3958,32.6000,0
7,6.701263,35.9200,20.3397,5000,5000,7.26995250e-05,20.3397,35.9200,0
8,6.160098,39.0400,22.3046,5000,5000,6.54508497e-05,22.3046,39.0400,0
9,5.645554,42.0600,23.9468,5000,5000,5.78217233e-05,23.9468,42.0600,0
10,5.201536,43.5400,25.1266,5000,5000,5.00000000e-05,25.1266,43.5400,0
11,4.829180,45.8400,26.3571,5000,5000,4.21782767e-05,26.3571,45.8400,0
12,4.523138,47.3200,27.3073,5000,5000,3.45491503e-05,27.3073,47.3200,0
13,4.291363,49.0000,28.0678,5000,5000,2.73004750e-05,28.0678,49.0000,0
14,4.089516,49.4200,28.5814,5000,5000,2.06107374e-05,28.5814,49.4200,0
15,3.960699,50.1000,29.0299,5000,5000,1.46446609e-05,29.0299,50.1000,0
16,3.836884,50.8600,29.3716,5000,5000,9.54915028e-06,29.3716,50.8600,0
17,3.760921,50.9800,29.6365,5000,5000,5.44967379e-06,29.6365,50.9800,0
18,3.710876,51.4000,29.8585,5000,5000,2.44717419e-06,29.8585,51.4000,0
19,3.666024,51.3000,29.8501,5000,5000,6.15582970e-07,29.8585,51.4000,1
20,3.667376,51.3200,29.8735,5000,5000,0.00000000e+00,29.8585,51.4000,2
